time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
748561,5,-1,34,-34,57,-12,20,-13
748571,3,-5,33,-38,59,-14,22,-14
748581,5,-1,34,-34,57,-11,20,-14
748591,4,-5,33,-36,59,-14,21,-14
748601,5,-1,35,-34,56,-21,21,-14
748611,3,-5,33,-38,59,-22,21,-14
748621,5,-1,34,-33,57,-12,20,-13
748631,3,-5,33,-37,60,-14,22,-14
748641,4,-1,33,-34,57,-11,21,-14
748651,3,-4,33,-38,60,-22,21,-14
748661,4,-1,34,-34,57,-21,21,-13
748671,3,-5,33,-38,59,-10,21,-15
748681,5,-1,34,-33,57,-12,20,-14
748691,4,-5,33,-38,59,-19,21,-14
748701,5,-1,34,-34,57,-17,21,-13
748711,3,-5,33,-37,60,-22,22,-14
748721,5,-1,34,-34,57,-14,21,-14
748731,3,-5,32,-38,59,-17,21,-14
748741,5,-1,35,-34,57,-12,21,-14
748751,3,-5,33,-37,59,-17,21,-14
748761,5,-1,34,-33,57,-13,21,-12
748771,4,-5,33,-38,60,-15,21,-14
748781,4,-1,34,-34,57,-21,21,-14
748791,3,-6,33,-38,60,-22,21,-14
748801,5,-1,34,-33,56,-15,21,-13
748811,4,-5,33,-38,60,-23,21,-14
748821,5,-1,34,-34,56,-11,20,-13
748831,3,-5,33,-38,58,-14,22,-15
748841,4,-1,34,-34,56,-11,20,-14
748851,3,-5,33,-37,59,-22,21,-14
748861,5,0,35,-33,56,-22,21,-13
748871,3,-5,33,-38,60,-22,22,-14
748881,5,-1,34,-34,57,-18,21,-14
748891,3,-5,33,-37,59,-14,22,-14
748901,5,-1,34,-34,56,-22,21,-12
748911,3,-5,33,-37,60,-22,21,-14
748921,5,-1,34,-34,57,-21,21,-14
748931,3,-5,33,-38,58,-22,21,-14
748941,4,-1,34,-34,57,-12,20,-12
748951,3,-5,33,-38,60,-14,21,-14
748961,5,-3,32,-33,56,-12,21,-13
748971,3,-5,33,-38,60,-22,21,-14
748981,4,-1,34,-33,57,-22,21,-13
748991,3,-5,32,-38,60,-22,21,-14
749001,5,-1,34,-34,56,-17,21,-13
749011,3,-5,33,-37,60,-23,22,-14
749021,4,-1,34,-34,57,-16,20,-13
749031,3,-5,33,-38,60,-22,21,-14
749041,5,-1,34,-34,57,-22,21,-14
749051,4,-5,33,-38,59,-19,21,-14
749061,5,-1,34,-34,56,-12,21,-14
749071,3,-5,33,-37,59,-20,21,-14
749081,5,-1,34,-34,57,-15,20,-13
749091,4,-5,32,-37,60,-22,22,-14
749101,5,-1,34,-34,57,-22,21,-13
749111,3,-5,33,-36,59,-22,21,-14
749121,5,-1,34,-33,56,-12,20,-14
749131,4,-5,33,-38,60,-23,21,-14
749141,5,-1,34,-34,57,-21,21,-14
749151,4,-5,32,-37,59,-22,21,-13
749161,5,-1,34,-33,56,-22,21,-13
749171,4,-5,33,-38,60,-22,21,-14
749181,5,-1,34,-34,57,-22,21,-14
749191,4,-5,33,-38,59,-22,19,-14
749201,5,-1,34,-34,56,-18,21,-12
749211,3,-5,32,-38,59,-14,22,-14
749221,5,-1,34,-34,57,-22,21,-13
749231,4,-5,32,-37,60,-22,23,-14
749241,4,-1,34,-33,56,-21,21,-13
749251,3,-5,33,-38,60,-22,22,-14
749261,4,-1,34,-35,57,-21,21,-14
