timestamp,event_type
2.04,leave
2.64,enter
4.92,leave
140.4,enter
148.44,enter
154.4,enter
157.44,leave
184.56,enter
196.64,leave
197.44,enter
209.72,enter
225.36,enter
251.44,enter
256.12,enter
269.24,enter
269.76,enter
270.24,enter
290.88,enter
295.6,leave
304.32,enter
313.04,enter
328.6,enter
330.04,enter
331.0,enter
335.68,enter
336.8,enter
340.52,leave
342.56,enter
350.24,enter
368.2,enter
375.72,enter
407.0,enter
418.04,enter
428.68,enter
461.04,leave
464.76,leave
466.24,enter
505.32,enter
512.2,enter
514.44,leave
533.28,enter
558.76,leave
590.76,leave
637.6,enter
651.52,leave
668.92,leave
709.48,leave
746.16,leave
748.24,leave
760.76,leave
765.12,leave
845.64,enter
852.04,enter
871.52,leave
902.76,leave
916.52,leave
929.52,leave
960.84,leave
963.24,enter
974.92,leave
975.72,leave
981.04,enter
982.68,leave
1000.96,leave
1041.08,leave
1041.8,leave
1095.88,enter
1119.56,leave
1162.08,leave
1169.16,leave
1193.96,enter
1243.04,leave
1281.28,enter
1328.04,enter
1329.4,leave
1363.64,leave
1429.92,enter
1443.48,leave
1466.16,leave
1477.32,leave
1478.32,leave
1489.4,leave
1498.28,leave
1506.68,leave
1517.84,leave
1518.64,leave
1519.32,leave
1525.24,leave
1569.96,leave
1570.6,leave
1573.24,enter
1620.2,leave
1628.36,leave
1632.4,leave
1647.0,leave
1659.72,leave
1676.84,leave
1708.04,leave
1713.28,leave
1716.12,enter
1716.76,enter
1719.68,leave
1725.88,leave
1732.52,leave
1737.56,leave
1746.12,leave
1768.48,enter
1769.2,leave
1770.28,enter
1773.4,enter
1801.48,leave
1806.36,enter
1822.28,leave
