timestamp,event_type
28.4,enter
31.6,enter
35.92,enter
37.24,enter
44.52,enter
58.08,enter
70.0,enter
70.68,enter
101.48,enter
126.0,leave
167.76,leave
188.64,enter
196.12,enter
211.04,enter
218.0,enter
222.12,enter
245.12,enter
248.48,enter
250.84,leave
254.56,enter
260.2,enter
275.44,enter
280.88,enter
295.52,enter
299.36,enter
303.28,enter
308.08,enter
308.84,enter
328.6,enter
331.48,enter
354.0,enter
376.6,enter
387.44,enter
423.88,enter
428.28,enter
442.0,enter
510.88,enter
515.88,enter
537.2,leave
545.88,enter
553.6,enter
626.0,enter
692.92,leave
705.32,leave
713.56,enter
758.52,leave
789.36,leave
822.24,enter
842.0,leave
852.32,leave
859.56,leave
900.56,leave
906.56,leave
919.44,leave
919.76,leave
972.52,leave
973.2,leave
978.52,leave
981.44,leave
996.6,leave
1000.96,leave
1013.28,leave
1064.16,enter
1070.2,leave
1080.64,leave
1113.92,enter
1115.72,leave
1123.56,enter
1157.28,leave
1199.32,leave
1248.4,enter
1259.36,leave
1288.48,enter
1292.88,enter
1297.04,enter
1326.0,enter
1328.8,leave
1344.12,leave
1346.92,enter
1371.4,enter
1395.32,enter
1400.28,leave
1401.12,enter
1404.48,enter
1414.44,enter
1437.52,leave
1452.76,enter
1470.16,leave
1487.76,leave
1496.96,enter
1505.72,enter
1525.4,enter
1527.72,enter
1546.48,leave
1548.28,enter
1560.76,leave
1565.92,leave
1570.2,leave
1584.32,leave
1596.8,leave
1597.24,leave
1602.28,enter
1606.88,leave
1615.48,enter
1616.8,enter
1619.04,enter
1640.2,leave
1649.76,leave
1698.0,leave
1704.52,leave
1705.24,leave
1717.8,leave
1725.16,leave
1729.68,enter
1754.84,leave
1796.72,leave
1803.12,leave
1805.68,enter
1806.68,enter
1820.64,enter
