timestamp,event_type
6.8,enter
27.44,enter
43.52,enter
44.36,leave
61.2,enter
73.56,enter
86.44,enter
99.4,enter
114.96,enter
131.28,enter
133.4,enter
173.68,leave
191.28,enter
212.84,enter
215.8,leave
216.6,leave
270.0,enter
279.64,enter
295.32,enter
297.28,leave
307.48,enter
349.8,enter
350.96,enter
359.88,enter
368.48,enter
376.04,enter
386.88,enter
388.24,enter
417.32,enter
420.64,enter
446.4,enter
451.8,enter
464.6,leave
482.96,leave
489.08,enter
493.88,leave
499.24,enter
516.2,leave
528.36,enter
536.88,enter
538.52,enter
541.96,enter
561.6,enter
566.44,leave
575.84,enter
580.6,enter
581.36,enter
585.44,enter
597.64,leave
607.08,enter
609.96,leave
627.76,leave
638.56,enter
651.64,enter
673.56,enter
675.2,leave
683.96,enter
723.84,leave
734.64,enter
749.4,enter
756.24,enter
791.24,leave
815.96,leave
823.0,enter
833.28,enter
853.88,enter
874.56,leave
880.68,leave
881.76,leave
885.48,leave
891.8,leave
954.48,leave
989.32,leave
999.16,leave
1028.28,leave
1058.08,enter
1065.04,leave
1072.84,leave
1076.6,leave
1103.4,leave
1141.92,leave
1171.12,leave
1183.04,leave
1188.92,leave
1211.28,leave
1213.8,enter
1215.92,leave
1315.12,enter
1324.36,enter
1329.72,leave
1334.96,enter
1339.4,leave
1352.68,leave
1355.44,leave
1377.36,leave
1386.24,leave
1387.32,leave
1398.0,leave
1399.88,leave
1401.68,leave
1423.92,leave
1427.2,leave
1430.64,leave
1442.84,leave
1455.88,leave
1456.36,leave
1458.24,enter
1477.56,leave
1478.4,leave
1482.2,leave
1484.92,leave
1486.48,leave
1488.76,leave
1495.52,leave
1507.84,leave
1509.24,leave
1516.36,leave
1518.24,leave
1522.6,leave
1533.8,leave
1538.72,leave
1546.04,leave
1547.08,leave
1563.56,leave
1569.6,leave
1579.92,leave
1582.44,leave
1589.08,leave
1590.12,leave
1595.52,leave
1600.16,leave
1600.88,leave
1607.24,leave
1607.56,leave
1607.88,leave
1615.6,leave
1622.68,leave
1623.72,leave
1664.24,leave
1671.64,leave
1678.8,leave
1685.32,leave
1697.36,leave
1749.0,leave
1749.72,leave
1766.68,leave
1805.28,leave
