timestamp,event_type
27.32,enter
36.4,enter
41.56,enter
69.28,enter
96.88,enter
142.32,enter
153.96,enter
177.36,enter
200.28,enter
234.2,enter
244.2,enter
247.4,leave
248.08,leave
255.16,enter
264.04,enter
266.8,leave
268.76,enter
269.84,leave
273.04,enter
274.52,enter
279.48,enter
294.28,enter
302.2,enter
303.48,enter
325.12,enter
337.2,enter
338.68,enter
341.92,enter
350.72,enter
355.84,enter
370.44,enter
372.44,leave
389.84,enter
405.4,enter
410.56,enter
420.68,leave
421.24,enter
423.68,leave
429.6,enter
462.76,leave
500.64,leave
508.56,leave
534.92,leave
544.48,enter
621.64,enter
670.28,enter
733.76,enter
735.12,leave
812.68,leave
841.36,leave
851.36,enter
855.52,enter
903.08,leave
915.28,leave
918.64,enter
974.08,leave
983.32,enter
1004.84,leave
1033.8,enter
1057.32,leave
1068.48,leave
1118.2,leave
1133.52,enter
1169.4,leave
1178.76,leave
1192.16,enter
1192.96,leave
1253.08,enter
1277.48,leave
1296.4,leave
1315.0,leave
1336.92,enter
1374.8,enter
1384.28,enter
1397.52,leave
1403.56,enter
1425.32,enter
1432.36,leave
1434.0,leave
1478.8,leave
1487.92,leave
1510.72,leave
1516.28,leave
1517.36,enter
1533.44,enter
1557.4,leave
1577.16,leave
1584.0,enter
1587.36,leave
1609.32,leave
1634.16,leave
1635.08,leave
1637.96,enter
1654.12,leave
1662.48,leave
1680.44,leave
1695.64,leave
1704.16,leave
1706.24,leave
1727.0,leave
1742.32,leave
1751.72,leave
1769.96,enter
1771.68,leave
1772.96,enter
1774.68,leave
1782.68,leave
1785.08,leave
1811.28,enter
1821.88,leave
