timestamp,event_type
35.64,leave
44.84,enter
47.28,enter
48.6,enter
68.72,enter
74.44,enter
111.52,enter
123.44,enter
138.32,enter
161.28,enter
252.68,enter
255.48,enter
298.8,leave
326.8,enter
342.04,enter
347.52,enter
355.24,enter
358.28,enter
362.84,enter
379.64,enter
404.84,enter
422.32,enter
428.0,leave
435.52,enter
443.56,enter
448.48,enter
454.12,leave
462.2,leave
473.28,leave
474.68,leave
486.64,leave
541.32,enter
596.16,leave
597.32,leave
602.64,enter
605.56,leave
606.44,leave
608.0,enter
609.08,enter
633.64,leave
657.24,leave
676.48,leave
682.28,leave
705.56,enter
716.96,enter
723.76,leave
729.16,leave
749.04,enter
750.48,enter
753.56,enter
767.6,enter
804.8,enter
808.12,enter
812.04,enter
813.68,leave
815.88,leave
830.88,enter
836.32,leave
837.0,enter
853.8,leave
861.72,leave
870.96,leave
879.04,enter
879.92,leave
883.64,enter
892.48,leave
895.44,leave
899.52,leave
923.4,leave
931.0,leave
942.56,leave
943.52,enter
975.72,leave
985.56,leave
1043.2,leave
1051.4,leave
1089.04,leave
1123.4,enter
1124.68,leave
1138.56,leave
1159.84,leave
1170.0,leave
1174.08,leave
1177.96,leave
1180.16,leave
1184.84,leave
1185.6,leave
1243.56,leave
1271.76,leave
1278.36,leave
1282.12,leave
1315.08,leave
1318.52,leave
1343.6,leave
1352.28,leave
1366.36,enter
1372.04,enter
1378.16,leave
1382.12,leave
1401.2,leave
1403.52,leave
1410.36,leave
1414.2,leave
1422.52,leave
1428.0,leave
1429.04,leave
1436.08,leave
1439.32,leave
1453.0,leave
1469.92,leave
1476.96,enter
1486.8,leave
1500.8,leave
1501.52,enter
1515.12,leave
1520.68,leave
1530.08,enter
1541.08,enter
1542.16,leave
1560.24,enter
1566.96,leave
1596.92,leave
1603.0,leave
1605.64,leave
1607.48,leave
1618.36,leave
1624.04,enter
1627.64,leave
1631.36,leave
1645.6,leave
1657.08,leave
1668.68,leave
1670.44,leave
1675.6,leave
1681.96,leave
1683.6,enter
1697.8,leave
1708.28,enter
1718.96,leave
1720.44,leave
1727.4,enter
1736.36,leave
1739.0,leave
1746.08,enter
1756.2,leave
1757.12,leave
1767.56,leave
1805.72,leave
1806.4,leave
1812.0,leave
1816.04,leave
1816.56,leave
1821.6,leave
