timestamp,event_type
14.32,enter
27.24,enter
81.6,leave
191.12,leave
242.52,enter
248.52,enter
255.36,enter
257.04,leave
263.48,leave
299.6,enter
320.84,enter
339.96,enter
354.88,enter
358.72,enter
403.48,enter
412.36,enter
438.36,enter
443.44,enter
457.44,leave
458.16,enter
477.48,enter
496.12,enter
531.96,leave
544.84,enter
556.12,leave
562.32,leave
566.56,enter
593.12,leave
601.0,leave
622.32,leave
677.84,leave
688.88,enter
693.6,leave
701.4,leave
735.2,leave
743.68,leave
753.92,leave
772.56,leave
776.96,leave
855.88,leave
871.28,leave
917.16,leave
919.04,leave
977.96,leave
992.68,leave
999.0,leave
1013.64,leave
1034.56,leave
1049.96,leave
1053.36,leave
1071.2,enter
1076.6,leave
1111.72,enter
1120.2,leave
1127.48,leave
1136.88,leave
1139.8,leave
1184.08,leave
1273.2,enter
1284.96,enter
1307.32,enter
1307.68,leave
1347.28,leave
1360.96,enter
1369.0,enter
1370.68,leave
1376.28,enter
1400.44,enter
1401.72,leave
1403.76,enter
1427.52,leave
1434.32,leave
1440.52,leave
1463.84,leave
1475.4,enter
1485.04,leave
1486.76,leave
1490.92,enter
1516.92,leave
1526.76,leave
1583.16,leave
1590.76,leave
1593.36,leave
1611.8,enter
1612.84,leave
1630.96,leave
1634.52,leave
1661.84,leave
1675.68,leave
1679.16,leave
1690.24,leave
1701.76,enter
1729.4,leave
1729.76,leave
1736.16,leave
1791.08,leave
1799.36,leave
1803.68,leave
1806.84,leave
1812.24,leave
1817.48,leave
