timestamp,event_type
15.56,leave
42.2,enter
54.16,leave
71.6,enter
95.28,leave
99.8,enter
111.96,enter
132.84,enter
136.8,enter
143.44,enter
146.48,leave
167.8,enter
185.92,leave
223.72,enter
263.48,enter
272.64,leave
283.28,leave
284.48,leave
343.44,enter
435.4,enter
451.68,enter
468.44,enter
473.6,leave
478.4,enter
487.92,leave
498.08,enter
506.2,leave
530.52,leave
542.2,leave
542.52,leave
577.76,leave
597.2,enter
714.92,leave
741.2,leave
750.56,enter
758.04,leave
767.28,leave
780.76,enter
798.36,leave
802.4,enter
818.48,enter
825.24,leave
830.64,leave
843.12,enter
863.92,leave
866.16,leave
870.84,leave
873.96,leave
879.44,leave
885.8,leave
887.68,leave
892.52,leave
917.24,leave
924.44,leave
936.96,leave
946.52,leave
949.56,enter
963.04,leave
979.56,leave
994.88,enter
1016.72,enter
1040.32,enter
1042.28,enter
1078.64,leave
1092.64,leave
1107.52,leave
1108.04,leave
1119.28,leave
1133.76,leave
1144.76,leave
1149.44,leave
1159.16,leave
1163.24,leave
1183.04,leave
1184.76,leave
1193.48,leave
1196.04,leave
1223.36,enter
1224.12,leave
1225.16,enter
1230.32,leave
1237.84,leave
1239.48,leave
1248.88,enter
1249.84,leave
1250.84,leave
1259.72,leave
1291.64,enter
1312.64,leave
1316.96,leave
1337.72,leave
1344.4,leave
1345.0,leave
1345.56,leave
1372.04,leave
1376.68,leave
1379.52,leave
1385.16,leave
1387.48,leave
1406.12,leave
1407.24,leave
1410.04,leave
1417.16,leave
1428.56,leave
1430.36,leave
1445.96,leave
1447.08,leave
1483.68,leave
1488.76,leave
1491.0,leave
1494.84,leave
1495.72,leave
1499.72,leave
1505.0,leave
1508.12,leave
1512.76,leave
1515.52,leave
1521.48,leave
1526.92,leave
1530.6,leave
1539.32,leave
1542.04,leave
1547.12,leave
1552.64,leave
1555.88,leave
1567.48,leave
1570.56,leave
1571.08,leave
1573.32,leave
1582.92,leave
1585.88,leave
1590.64,leave
1591.92,leave
1593.28,leave
1594.6,leave
1602.68,leave
1603.56,leave
1611.52,leave
1616.64,leave
1629.8,leave
1631.24,leave
1635.04,leave
1636.68,leave
1642.08,leave
1646.44,leave
1664.56,leave
1677.72,leave
1686.36,leave
1687.84,leave
1690.56,leave
1692.44,enter
1702.2,leave
1708.64,leave
1726.72,leave
1752.52,leave
1773.04,leave
1773.36,leave
1791.28,leave
1819.12,leave
