timestamp,event_type
25.04,enter
27.64,enter
38.44,enter
40.52,enter
50.68,enter
52.96,enter
67.04,enter
74.84,enter
85.76,enter
210.2,enter
239.08,enter
258.76,enter
262.92,enter
264.44,enter
267.36,enter
271.8,enter
277.6,enter
281.56,enter
284.64,leave
286.8,enter
291.76,enter
296.12,enter
298.92,enter
303.84,enter
318.36,enter
324.2,enter
327.04,leave
327.72,enter
333.92,enter
341.0,enter
348.44,enter
353.76,enter
383.24,leave
394.52,enter
422.84,enter
431.52,leave
434.56,leave
449.92,enter
496.0,enter
527.72,enter
528.68,leave
529.44,enter
530.96,leave
559.36,enter
561.0,leave
562.4,enter
577.6,leave
589.56,enter
593.48,enter
616.84,enter
622.8,enter
623.64,leave
626.64,enter
682.32,leave
728.8,enter
732.44,leave
740.56,enter
742.68,leave
744.32,enter
744.56,enter
745.24,leave
746.84,leave
749.16,enter
776.56,leave
782.8,leave
808.24,leave
874.48,enter
897.6,leave
902.56,leave
946.44,enter
956.96,enter
962.8,enter
966.68,enter
971.76,leave
985.28,enter
986.56,enter
989.24,enter
998.44,leave
1003.48,leave
1023.12,enter
1025.16,leave
1026.4,enter
1043.32,leave
1054.24,enter
1082.44,enter
1086.72,leave
1087.52,enter
1094.28,enter
1120.52,leave
1129.2,enter
1160.96,leave
1186.48,leave
1216.88,enter
1219.08,leave
1250.84,enter
1259.2,enter
1312.08,enter
1315.32,enter
1336.52,enter
1355.88,leave
1365.6,leave
1376.08,leave
1383.56,enter
1393.72,enter
1395.44,enter
1403.12,leave
1417.28,enter
1431.28,leave
1440.24,enter
1449.32,enter
1455.56,enter
1470.2,leave
1471.32,enter
1476.32,enter
1483.28,enter
1488.68,enter
1494.56,leave
1500.4,enter
1510.2,leave
1529.32,enter
1576.56,leave
1592.12,enter
1607.16,leave
1628.08,leave
1634.88,leave
1640.12,enter
1656.8,enter
1667.0,enter
1682.48,enter
1687.36,enter
1699.44,enter
1710.64,leave
1729.56,leave
1750.04,enter
1751.6,leave
1761.2,leave
1767.28,enter
1776.12,leave
1789.24,enter
1792.72,enter
1804.92,leave
