time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
12474,-9,4,18,-29,62,-30,39,-26
12484,0,-3,33,-46,49,-8,29,1
12494,-10,4,18,-29,63,-30,40,-26
12504,0,-2,34,-44,48,-9,29,1
12514,-9,4,18,-29,63,-30,39,-26
12524,1,-3,33,-45,48,-8,29,1
12534,-9,4,18,-28,63,-32,38,-25
12544,0,-2,34,-45,48,-9,29,1
12554,-9,5,18,-28,62,-30,39,-26
12564,1,-2,34,-45,48,-8,29,1
12574,-9,4,18,-29,63,-30,39,-26
12584,1,-2,34,-45,49,-8,29,1
12594,-9,4,18,-28,62,-31,39,-26
12604,1,-2,34,-44,48,-8,29,1
12614,-9,4,18,-27,63,-30,39,-26
12624,2,-2,34,-45,48,-8,29,1
12634,-9,4,18,-28,62,-30,39,-26
12644,0,-2,34,-45,48,-8,29,1
12654,-9,4,17,-29,63,-31,40,-26
12664,1,-2,34,-44,48,-8,29,1
12674,-9,4,18,-29,63,-30,39,-26
12684,1,-2,34,-45,49,-9,29,1
12694,-9,4,18,-28,64,-30,39,-26
12704,1,-2,34,-45,47,-8,29,1
12714,-9,4,18,-28,64,-30,39,-26
12724,1,-2,34,-45,48,-9,28,1
12734,-9,5,18,-29,63,-30,39,-26
12744,1,-2,34,-45,47,-8,28,1
12754,-9,4,18,-28,62,-30,39,-26
12764,1,-2,34,-45,48,-8,28,1
12774,-9,4,17,-28,62,-31,39,-26
12784,1,-2,34,-45,47,-8,28,2
12794,-9,4,18,-28,64,-30,39,-27
12804,1,-2,34,-45,49,-8,29,1
12814,-9,5,18,-28,64,-30,39,-26
12824,1,-2,34,-45,47,-9,28,1
12834,-9,4,18,-28,63,-30,39,-26
12844,1,-2,34,-44,48,-8,29,1
12854,-9,4,18,-29,62,-31,39,-23
12864,1,-3,33,-44,50,-8,28,1
12874,-9,4,17,-28,62,-30,39,-26
12884,1,-2,34,-45,48,-8,28,1
12894,-9,4,18,-29,63,-30,39,-26
12904,1,-2,34,-45,48,-8,29,1
12914,-9,4,17,-28,62,-31,41,-28
12924,0,-2,34,-45,49,-9,29,1
12934,-9,4,18,-30,64,-30,39,-26
12944,1,-2,34,-45,49,-8,29,1
12954,-9,5,18,-28,62,-31,39,-26
12964,1,-2,33,-45,49,-8,29,1
12974,-9,4,17,-28,63,-29,39,-26
12984,1,-2,34,-45,49,-8,29,1
12994,-9,4,17,-29,63,-31,39,-26
13004,1,-2,34,-45,49,-9,28,1
13014,-9,4,18,-29,64,-30,39,-26
13024,1,-2,34,-45,48,-8,29,1
13034,-9,4,18,-29,64,-31,39,-26
13044,1,-2,35,-45,49,-9,29,1
13054,-9,4,17,-28,63,-30,40,-26
13064,0,-2,34,-45,49,-8,29,1
13074,-9,4,18,-28,63,-30,39,-26
13084,1,-2,34,-45,48,-8,29,1
13094,-9,5,17,-28,62,-31,39,-26
13104,1,-2,34,-45,47,-8,29,1
13114,-9,5,17,-29,62,-31,39,-26
13124,1,-2,34,-44,49,-9,28,1
13134,-9,5,18,-28,62,-30,39,-26
13144,1,-2,34,-45,48,-9,29,1
13154,-9,4,18,-28,62,-30,40,-26
13164,1,-2,34,-45,48,-8,29,1
13174,-8,4,17,-28,62,-30,39,-27
13184,1,-2,34,-45,47,-9,29,1
13194,-9,4,17,-28,64,-30,40,-26
13204,-1,-5,32,-42,48,-9,29,2
13214,-9,4,18,-29,62,-30,39,-26
13224,1,-2,34,-46,49,-8,28,1
13234,-9,5,18,-29,63,-31,40,-26
13244,1,-2,34,-45,48,-8,29,1
13254,-9,5,17,-29,63,-30,40,-25
13264,1,-2,34,-45,49,-8,29,1
13274,-9,4,18,-29,64,-31,40,-26
13284,1,-2,34,-45,49,-8,29,1
