time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
3565,1,0,-1,1,-1,1,-1,1
3574,1,0,-1,1,-1,1,-1,1
3585,1,0,-1,1,-1,1,-1,1
3594,1,0,-1,1,-1,1,-1,1
3605,1,0,-1,1,-1,1,-1,1
3614,1,0,-1,1,-1,1,-1,1
3625,1,0,-1,1,-1,1,-1,1
3634,1,0,-1,1,-1,1,-1,1
3645,1,0,-1,1,-1,1,-1,1
3654,1,0,-1,1,-1,1,-1,1
3665,1,0,-1,1,-1,1,-1,1
3674,1,0,-1,1,-1,1,-1,1
3685,1,0,-1,1,-1,1,-1,1
3694,1,0,-1,1,-1,1,-1,1
3705,1,0,-1,1,-1,1,-1,1
3714,1,0,-1,1,-1,1,-1,1
3725,1,0,-1,1,-1,1,-1,1
3734,1,0,-1,1,-1,1,-1,1
3745,1,0,-1,1,-1,1,-1,1
3754,1,0,-1,1,-1,1,-1,1
3765,1,0,-1,1,-1,1,-1,1
3774,1,0,-1,1,-1,1,-1,1
3785,1,0,-1,1,-1,1,-1,1
3797,1,0,-1,1,-1,1,-1,1
3805,1,0,-1,1,-1,1,-1,1
3814,1,0,-1,1,-1,1,-1,1
3825,1,0,-1,1,-1,1,-1,1
3834,1,0,-1,1,-1,1,-1,1
3845,1,0,-1,1,-1,1,-1,1
3854,1,0,-1,1,-1,1,-1,1
3865,1,0,-1,1,-1,1,-1,1
3874,1,0,-1,1,-1,1,-1,1
3885,1,0,-1,1,-1,1,-1,1
3894,1,0,-1,1,-1,1,-1,1
3905,1,0,-1,1,-1,1,-1,1
3914,1,0,-1,1,-1,1,-1,1
3925,1,0,-1,1,-1,1,-1,1
3934,1,0,-1,1,-1,1,-1,1
3945,1,0,-1,1,-1,1,-1,1
3954,1,0,-1,1,-1,1,-1,1
3965,1,0,-1,1,-1,1,-1,1
3974,1,0,-1,1,-1,1,-1,1
3985,1,0,-1,1,-1,1,-1,1
3994,1,0,-1,1,-1,1,-1,1
4005,1,0,-1,1,-1,1,-1,1
4014,1,0,-1,1,-1,1,-1,1
4025,1,0,-1,1,-1,1,-1,1
4034,1,0,-1,1,-1,1,-1,1
4045,1,0,-1,1,-1,1,-1,1
4054,1,0,-1,1,-1,1,-1,1
4065,1,0,-1,1,-1,1,-1,1
4074,1,0,-1,1,-1,1,-1,1
4085,1,0,-1,1,-1,1,-1,1
4094,1,0,-1,1,-1,1,-1,1
4105,1,0,-1,1,-1,1,-1,1
4114,1,0,-1,1,-1,1,-1,1
4125,1,0,-1,1,-1,1,-1,1
4134,1,0,-1,1,-1,1,-1,1
4145,1,0,-1,1,-1,1,-1,1
4154,1,0,-1,1,-1,1,-1,1
4165,1,0,-1,1,-1,1,-1,1
4174,1,0,-1,1,-1,1,-1,1
4185,1,0,-1,1,-1,1,-1,1
4194,1,0,-1,1,-1,1,-1,1
4205,1,0,-1,1,-1,1,-1,1
4214,1,0,-1,1,-1,1,-1,1
4225,1,0,-1,1,-1,1,-1,1
4234,1,0,-1,1,-1,1,-1,1
4245,1,0,-1,1,-1,1,-1,1
4254,1,0,-1,1,-1,1,-1,1
4265,1,0,-1,1,-1,1,-1,1
4274,1,0,-1,1,-1,1,-1,1
