time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
18113,-3,-8,28,-32,55,-20,31,-10
18123,-6,4,24,-38,55,-14,33,-4
18133,-2,-8,29,-34,55,-19,32,-10
18143,-6,4,24,-39,55,-14,31,-3
18153,-3,-9,29,-35,55,-20,32,-11
18163,-6,4,23,-41,55,-14,33,-4
18173,-2,-10,29,-35,56,-20,31,-8
18183,-6,5,24,-41,55,-14,33,-3
18193,-3,-10,29,-32,54,-19,30,-9
18203,-5,3,25,-38,55,-15,33,-3
18213,-3,-9,29,-35,53,-20,31,-11
18223,-6,3,24,-38,54,-16,33,-2
18233,-3,-8,28,-35,55,-20,32,-10
18243,-6,5,24,-38,54,-14,33,-3
18253,-2,-10,28,-37,56,-20,30,-12
18263,-6,4,25,-40,54,-14,32,-3
18273,-3,-9,28,-34,54,-20,31,-8
18283,-6,4,25,-37,54,-15,33,-3
18293,-3,-8,28,-34,55,-21,31,-9
18303,-5,4,25,-37,55,-14,34,-3
18313,-3,-9,28,-35,54,-20,31,-11
18323,-6,4,25,-38,55,-15,33,-5
18333,-3,-8,28,-36,53,-17,31,-13
18343,-6,3,25,-36,55,-13,32,-2
18353,-3,-8,28,-36,54,-19,31,-9
18363,-6,3,26,-36,55,-15,31,-3
18373,-3,-8,27,-37,54,-21,31,-8
18383,-6,3,26,-37,54,-16,33,-3
18393,-3,-9,27,-37,54,-21,31,-10
18403,-6,4,26,-36,55,-16,34,-4
18413,-3,-8,26,-38,55,-20,31,-9
18423,-6,4,24,-36,56,-14,34,-5
18433,-3,-7,27,-36,56,-20,31,-9
18443,-6,3,26,-36,55,-15,32,-4
18453,-3,-9,28,-36,54,-20,32,-9
18463,-5,3,26,-37,55,-14,32,-4
18473,-3,-8,27,-37,54,-20,32,-8
18483,-6,3,26,-35,55,-15,35,-4
18493,-3,-8,27,-37,55,-20,30,-8
18503,-6,3,26,-35,55,-15,34,-5
18513,-3,-7,26,-36,54,-20,30,-9
18523,-6,3,26,-34,54,-15,34,-6
18533,-3,-6,26,-39,53,-20,31,-9
18543,-6,1,26,-37,54,-14,33,-7
18553,-3,-9,26,-37,54,-21,31,-10
18563,-6,3,26,-36,54,-15,32,-5
18573,-3,-5,26,-38,54,-19,32,-8
18583,-6,3,26,-34,56,-15,33,-6
18593,-3,-6,26,-34,55,-20,31,-7
18603,-5,2,27,-33,55,-16,33,-7
18613,-3,-6,25,-36,54,-22,31,-7
18623,-6,2,25,-36,56,-16,32,-7
18633,-3,-6,26,-36,55,-20,31,-6
