time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
138193,6,-4,40,-40,58,-25,68,-21
138203,5,-4,41,-40,58,-25,66,-11
138213,4,-4,40,-41,58,-24,66,-20
138223,5,-4,41,-40,58,-24,70,-14
138233,6,-4,40,-40,57,-24,68,-16
138243,5,-4,40,-41,59,-25,65,-20
138253,5,-4,40,-40,57,-26,69,-9
138263,6,-4,41,-40,59,-25,67,-13
138273,6,-4,40,-41,61,-25,70,-8
138283,6,-4,40,-41,58,-25,67,-13
138293,5,-4,40,-41,58,-25,66,-25
138303,6,-4,40,-40,60,-25,57,-20
138313,5,-4,39,-41,59,-22,68,-14
138323,6,-4,41,-42,58,-26,66,-21
138333,6,-4,40,-40,59,-25,66,-14
138343,6,-3,41,-40,57,-26,54,-21
138353,5,-4,42,-41,59,-25,65,-14
138363,6,-4,41,-40,58,-26,71,-8
138373,6,-4,40,-40,59,-26,64,-14
138383,6,-4,41,-43,59,-24,70,-24
138393,6,-4,40,-39,59,-25,60,-16
138403,6,-4,40,-42,56,-24,67,-26
138413,6,-4,40,-40,56,-25,69,-26
138423,6,-4,40,-41,59,-24,66,-14
138433,6,-4,40,-41,57,-25,49,-20
138443,6,-3,41,-40,59,-23,68,-14
138453,5,-4,40,-41,58,-24,64,-13
138463,5,-4,40,-41,58,-25,65,-14
138473,6,-4,40,-41,57,-24,68,-17
138483,5,-4,40,-41,56,-25,56,-21
138493,5,-4,40,-42,59,-24,68,-22
138503,5,-4,40,-40,57,-24,65,-13
138513,6,-4,40,-40,55,-24,67,-18
138523,5,-4,40,-40,59,-25,55,-19
138533,5,-4,40,-41,58,-23,67,-13
138543,6,-4,40,-41,58,-24,63,-20
138553,6,-4,40,-40,58,-24,66,-14
138563,5,-4,40,-41,57,-24,67,-13
138573,3,-4,41,-42,57,-24,66,-16
138583,6,-4,40,-41,59,-24,66,-13
138593,6,-4,41,-41,59,-27,57,-20
138603,6,-4,40,-40,56,-23,66,-14
138613,6,-4,40,-41,63,-24,67,-19
138623,6,-4,40,-41,58,-25,50,-21
138633,5,-3,40,-42,61,-24,68,-9
138643,6,-4,40,-41,58,-25,65,-16
138653,5,-4,40,-42,58,-24,66,-14
138663,6,-4,40,-39,59,-25,50,-20
138673,6,-4,40,-41,57,-24,66,-14
138683,5,-5,39,-41,58,-25,72,-10
138693,5,-4,40,-42,61,-24,68,-13
138703,6,-4,40,-42,59,-24,69,-15
138713,5,-4,40,-39,59,-25,51,-19
138723,6,-4,41,-41,58,-25,67,-23
138733,6,-4,40,-39,58,-23,68,-14
138743,6,-4,41,-42,59,-24,68,-17
138753,6,-4,40,-41,58,-26,58,-20
138763,6,-4,40,-39,61,-25,69,-14
138773,6,-4,40,-41,59,-26,46,-20
138783,4,-4,41,-40,58,-23,72,-15
138793,4,-4,40,-39,58,-26,65,-13
138803,6,-4,40,-42,58,-26,54,-20
138813,6,-4,40,-36,59,-25,66,-14
138823,6,-4,40,-42,58,-27,67,-12
138833,5,-4,40,-41,57,-26,67,-14
138843,6,-4,40,-42,58,-26,57,-21
138853,6,-3,42,-41,51,-24,69,-14
138863,6,-4,40,-41,59,-22,67,-16
138873,5,-4,40,-40,59,-24,67,-14
138883,5,-4,40,-40,58,-25,66,-16
138893,5,-4,40,-41,58,-25,47,-20
138903,5,-4,39,-41,57,-24,67,-20
138913,6,-4,40,-41,58,-26,43,-20
138923,6,-4,40,-42,59,-25,67,-8
138933,5,-4,40,-40,58,-24,66,-14
138943,6,-4,40,-42,59,-25,34,-20
138953,6,-4,40,-42,57,-24,65,-13
138963,5,-4,40,-41,58,-25,63,-13
138973,5,-5,39,-42,58,-25,65,-15
138983,6,-4,39,-40,59,-26,25,-18
138993,5,-4,41,-41,58,-24,63,-14
139003,5,-4,40,-41,59,-25,41,-19
139013,5,-5,39,-38,59,-24,63,-14
139023,6,-4,40,-41,57,-25,64,-13
139033,6,-5,40,-41,58,-26,50,-20
139043,6,-4,40,-42,58,-25,63,-15
139053,5,-4,40,-41,60,-24,63,-13
139063,5,-4,40,-41,58,-24,62,-13
139073,6,-4,40,-42,60,-26,32,-19
139083,5,-4,40,-42,59,-26,63,-14
139093,5,-4,40,-42,58,-25,25,-19
139103,6,-4,40,-41,61,-19,64,-14
139113,6,-5,40,-40,59,-25,68,-9
139123,5,-4,40,-41,59,-25,36,-20
139133,6,-4,40,-41,59,-25,62,-14
139143,5,-4,40,-41,59,-25,63,-14
139153,4,-4,40,-42,60,-19,63,-13
139163,6,-4,40,-42,61,-25,27,-19
139173,5,-4,40,-42,59,-26,62,-14
139183,1,-4,40,-41,57,-24,39,-20
139193,6,-4,40,-42,58,-27,63,-14
139203,6,-4,40,-42,59,-24,63,-14
139213,5,-4,40,-42,59,-26,26,-20
139223,6,-5,40,-41,58,-26,64,-15
139233,5,-4,40,-41,58,-26,23,-18
139243,5,-4,40,-41,58,-24,63,-13
139253,6,-4,40,-41,59,-27,64,-14
139263,5,-3,39,-42,58,-25,37,-20
139273,6,-4,40,-42,59,-25,63,-13
139283,5,-4,40,-41,59,-18,62,-14
139293,6,-4,40,-42,58,-23,65,-14
139303,7,-4,40,-42,58,-25,30,-19
139313,6,-4,40,-42,58,-26,67,-9
139323,6,-4,40,-41,58,-28,32,-19
139333,6,-4,41,-39,58,-24,67,-9
139343,6,-3,40,-42,58,-23,64,-13
139353,6,-3,42,-37,57,-25,33,-20
139363,3,-4,40,-42,59,-26,63,-14
139373,5,-4,40,-42,59,-25,69,-9
139383,5,-4,40,-42,59,-25,65,-13
139393,5,-4,40,-41,58,-25,31,-20
139403,6,-3,40,-41,58,-24,65,-14
139413,6,-4,41,-41,58,-25,33,-20
139423,6,-5,40,-42,59,-24,65,-14
139433,6,-4,40,-41,58,-24,63,-15
139443,6,-4,40,-42,58,-25,22,-19
139453,5,-4,40,-41,56,-24,64,-14
139463,4,-4,40,-42,59,-25,65,-14
139473,6,-4,40,-42,58,-23,63,-13
139483,6,-4,40,-42,59,-25,33,-19
139493,6,-4,41,-41,58,-25,62,-14
139503,5,-4,41,-42,60,-24,44,-19
139513,6,-4,40,-42,58,-25,61,-13
139523,7,-4,40,-41,56,-25,65,-14
139533,6,-4,41,-42,59,-26,25,-19
139543,5,-4,40,-41,58,-24,63,-14
139553,5,-4,40,-41,57,-27,23,-19
139563,6,-4,40,-40,58,-24,63,-14
139573,5,-4,40,-42,58,-24,66,-9
139583,4,-4,40,-41,60,-25,28,-19
139593,6,-4,40,-42,58,-26,68,-16
139603,5,-4,41,-41,56,-25,65,-14
139613,6,-4,41,-41,59,-25,64,-10
139623,6,-4,41,-42,58,-26,28,-16
139633,5,-4,41,-41,62,-25,67,-8
139643,6,-4,40,-41,59,-28,26,-19
139653,6,-4,40,-41,61,-25,69,-8
139663,6,-4,40,-41,58,-24,69,-9
139673,5,-4,39,-42,60,-26,17,-19
139683,6,-4,39,-40,58,-23,59,-15
139693,5,-3,41,-41,59,-22,68,-9
139703,5,-4,40,-43,57,-27,54,-19
139713,6,-5,40,-38,58,-26,30,-19
139723,6,-4,40,-42,58,-25,56,-17
139733,6,-4,40,-40,59,-24,35,-20
139743,6,-3,41,-42,63,-25,52,-20
139753,5,-4,41,-42,58,-24,70,-10
139763,6,-4,40,-41,58,-26,18,-19
139773,6,-4,40,-39,58,-25,63,-14
139783,6,-3,40,-41,57,-25,68,-8
139793,5,-4,40,-41,56,-24,63,-14
139803,6,-4,40,-42,60,-27,14,-19
139813,4,-4,40,-42,58,-25,70,-9
139823,4,-4,40,-42,57,-25,44,-19
139833,4,-4,40,-41,56,-25,66,-14
139843,4,-4,40,-41,59,-23,64,-14
139853,6,-4,41,-41,58,-26,24,-19
139863,5,-4,40,-41,61,-24,67,-9
139873,5,-4,40,-41,59,-27,26,-19
139883,4,-5,39,-40,58,-25,68,-11
139893,6,-4,40,-42,57,-24,64,-14
139903,4,-3,41,-41,60,-26,27,-20
139913,5,-4,40,-41,58,-25,66,-8
139923,4,-4,40,-40,58,-25,63,-14
139933,5,-4,41,-41,58,-25,66,-14
139943,5,-4,40,-41,59,-26,14,-20
139953,6,-4,41,-41,60,-24,69,-9
139963,6,-4,40,-41,58,-27,24,-19
139973,7,-4,41,-41,56,-25,70,-9
139983,5,-4,40,-40,60,-25,70,-9
139993,5,-4,40,-41,59,-26,35,-19
140003,5,-4,41,-41,58,-27,70,-8
140013,5,-4,40,-41,58,-25,70,-9
140023,6,-4,40,-42,59,-24,71,-9
140033,5,-4,40,-41,59,-26,25,-19
140043,5,-4,41,-41,59,-26,71,-9
140053,4,-4,41,-39,60,-25,27,-20
140063,5,-4,41,-41,58,-25,70,-9
140073,5,-3,41,-41,59,-29,40,-15
140083,6,-4,41,-41,58,-27,19,-19
140093,5,-4,40,-41,58,-25,57,-17
140103,6,-4,39,-39,59,-26,70,-9
140113,5,-4,40,-41,60,-22,53,-20
140123,5,-4,40,-40,59,-26,23,-19
140133,6,-3,41,-41,59,-25,65,-11
140143,6,-4,40,-40,58,-25,30,-19
140153,6,-4,41,-40,59,-25,71,-8
140163,6,-4,40,-40,60,-24,67,-9
140173,5,-4,40,-42,59,-27,18,-20
140183,5,-4,41,-41,59,-26,49,-21
140193,5,-3,40,-42,59,-28,28,-19
140203,5,-4,40,-41,60,-25,43,-19
140213,6,-3,40,-41,59,-25,65,-10
140223,5,-4,40,-41,56,-26,29,-19
140233,5,-4,41,-40,57,-25,71,-19
140243,5,-4,41,-41,57,-24,66,-13
140253,6,-5,39,-40,59,-24,59,-16
140263,6,-4,40,-41,60,-27,14,-23
140273,6,-4,40,-41,59,-25,71,-9
140283,5,-4,41,-41,60,-25,28,-13
