time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
136843,5,-5,40,-40,58,-24,61,-20
136853,6,-4,41,-40,59,-23,65,-14
136863,5,-4,40,-40,57,-23,55,-21
136873,6,-7,35,-41,58,-24,66,-20
136883,6,-4,40,-40,57,-24,65,-13
136893,6,-4,40,-41,55,-24,66,-21
136903,6,-4,40,-40,60,-24,65,-20
136913,7,-4,40,-40,56,-24,58,-14
136923,6,-4,40,-40,58,-24,64,-13
136933,6,-3,40,-41,59,-24,62,-20
136943,6,-4,40,-40,56,-24,63,-13
136953,6,-3,40,-41,59,-24,68,-21
136963,6,-4,40,-41,60,-24,65,-21
136973,7,-5,40,-41,58,-25,64,-14
136983,6,-4,41,-37,59,-24,58,-20
136993,6,-3,40,-41,59,-25,65,-13
137003,6,-4,40,-40,59,-24,67,-21
137013,6,-4,41,-40,59,-23,68,-23
137023,6,-4,40,-40,60,-24,67,-10
137033,5,-4,40,-37,56,-24,65,-19
137043,6,-4,40,-40,58,-24,66,-21
137053,7,-4,40,-41,59,-25,66,-26
137063,6,-4,40,-41,59,-25,63,-13
137073,6,-4,40,-40,59,-26,67,-20
137083,6,-4,40,-40,58,-25,66,-14
137093,6,-4,40,-41,59,-24,66,-21
137103,6,-5,39,-40,60,-24,64,-21
137113,6,-4,39,-40,59,-24,63,-15
137123,6,-1,40,-40,58,-24,42,-20
137133,6,-3,40,-41,58,-24,65,-25
137143,6,-4,40,-41,58,-23,61,-21
137153,6,-4,41,-34,53,-23,62,-14
137163,6,-4,40,-41,59,-25,66,-21
137173,6,-4,40,-40,58,-25,69,-8
137183,6,-4,40,-41,60,-23,60,-21
137193,6,-4,40,-40,58,-25,67,-21
137203,6,-4,40,-40,59,-25,65,-14
137213,6,-4,40,-41,61,-24,67,-21
137223,6,-4,40,-40,58,-27,63,-13
137233,6,-4,40,-40,58,-24,66,-21
137243,6,-5,39,-40,57,-23,62,-14
137253,6,-4,41,-32,58,-24,65,-21
137263,6,-4,40,-41,58,-23,64,-13
137273,6,-4,40,-41,58,-23,68,-26
137283,7,-4,40,-41,59,-23,64,-20
137293,6,-4,40,-41,58,-24,65,-13
137303,6,-4,41,-41,58,-24,67,-20
137313,6,-4,40,-40,56,-25,65,-13
137323,6,-4,40,-40,59,-25,64,-25
137333,6,-4,40,-40,60,-24,68,-21
137343,6,-4,40,-40,58,-25,64,-13
137353,6,-4,40,-41,56,-24,68,-19
137363,6,-4,40,-40,55,-24,67,-23
137373,6,-4,41,-40,63,-24,66,-21
137383,6,-4,40,-40,59,-25,64,-13
137393,6,-6,38,-40,59,-24,66,-21
137403,5,-4,40,-41,59,-24,69,-9
137413,6,-4,40,-40,57,-24,64,-25
137423,4,-4,40,-41,59,-19,63,-22
137433,6,-4,40,-40,59,-24,64,-13
137443,6,-4,40,-40,59,-25,67,-26
137453,6,-4,40,-41,58,-24,65,-25
137463,5,-3,40,-40,59,-24,67,-25
137473,6,-4,40,-40,58,-27,68,-9
137483,6,-4,40,-40,59,-24,67,-26
137493,6,-4,40,-40,59,-23,63,-13
137503,6,-4,40,-41,59,-24,64,-21
137513,6,-3,41,-40,62,-24,67,-17
137523,7,-4,40,-41,58,-24,68,-5
137533,6,-5,40,-41,59,-25,65,-25
137543,6,-4,40,-40,58,-24,66,-21
137553,6,-4,41,-41,58,-25,65,-25
137563,6,-4,40,-41,57,-25,67,-8
137573,5,-4,41,-40,58,-24,69,-20
137583,6,-4,40,-41,58,-24,62,-8
137593,6,-4,40,-41,58,-23,69,-19
137603,6,-4,40,-40,58,-23,66,-24
137613,6,-4,41,-41,58,-25,64,-13
137623,6,-4,40,-40,62,-25,69,-24
137633,5,-4,40,-41,59,-25,70,-8
137643,6,-4,40,-40,58,-25,69,-26
137653,6,-4,40,-40,58,-24,69,-26
137663,5,-4,40,-41,58,-24,67,-9
137673,6,-4,40,-40,57,-24,69,-23
137683,6,-4,40,-40,62,-24,69,-24
137693,6,-3,40,-40,61,-24,67,-20
137703,6,-4,40,-39,59,-25,63,-15
137713,6,-3,40,-40,56,-24,66,-14
137723,6,-4,40,-41,56,-24,66,-13
137733,6,-3,41,-40,59,-25,68,-21
137743,6,-4,40,-39,57,-23,68,-19
137753,6,-4,40,-40,59,-25,52,-14
137763,5,-4,41,-40,58,-24,69,-26
137773,5,-4,40,-40,58,-24,68,-22
137783,6,-4,40,-41,63,-24,67,-20
137793,6,-4,40,-40,59,-25,63,-11
137803,6,-4,41,-40,57,-24,66,-22
137813,6,-5,39,-40,58,-23,68,-9
137823,6,-4,40,-40,57,-24,66,-21
137833,5,-4,41,-41,57,-24,68,-19
137843,6,-4,40,-41,57,-25,67,-9
137853,7,-3,41,-41,59,-23,68,-26
137863,6,-4,40,-40,59,-25,64,-22
137873,5,-7,37,-41,59,-25,68,-24
137883,6,-4,40,-41,59,-25,48,-20
137893,6,-4,41,-41,58,-24,69,-25
137903,6,-4,40,-40,58,-24,63,-13
137913,6,-4,40,-42,59,-23,67,-20
137923,6,-4,40,-40,59,-26,68,-17
137933,5,-4,40,-40,58,-25,70,-8
137943,6,-4,40,-40,58,-23,69,-25
137953,6,-4,40,-40,58,-25,71,-8
137963,6,-4,40,-41,61,-25,67,-14
137973,6,-4,40,-40,59,-24,68,-24
137983,6,-4,40,-40,58,-26,64,-13
137993,6,-4,40,-40,55,-24,69,-25
138003,6,-4,40,-40,61,-25,66,-14
138013,5,-4,40,-41,58,-24,68,-14
138023,6,-4,40,-40,58,-25,66,-13
138033,6,-3,40,-41,58,-25,69,-20
138043,6,-3,41,-40,57,-26,68,-8
138053,6,-4,40,-38,55,-24,69,-20
138063,6,-4,40,-41,58,-25,66,-19
138073,6,-4,40,-40,59,-30,40,-16
138083,5,-4,40,-40,58,-24,69,-24
138093,6,-4,40,-41,57,-24,66,-19
138103,6,-5,39,-40,59,-25,65,-14
138113,6,-4,40,-40,58,-25,63,-13
138123,6,-4,40,-41,58,-25,66,-18
138133,6,-4,40,-42,58,-23,62,-9
138143,5,-4,40,-41,58,-25,65,-13
138153,6,-4,40,-40,62,-24,66,-20
138163,6,-4,40,-41,57,-25,57,-17
138173,4,-4,40,-42,59,-25,69,-25
138183,5,-4,41,-42,60,-25,66,-19
