time, left_gate_raw, right_gate_raw7289,203,164
7339,204,164
7389,203,164
7439,204,164
7489,203,164
7539,203,164
7589,203,164
7639,204,164
7689,203,164
7739,203,164
7789,203,164
7839,203,164
7889,203,164
7939,203,164
7989,203,164
8039,203,164
8089,203,164
8139,203,164
8189,203,164
8244,204,164
8289,203,164
8339,203,164
8389,203,164
8439,203,164
8489,203,164
8539,203,164
8589,203,164
8639,203,164
8689,203,164
8739,203,164
8789,203,164
8839,203,164
8889,203,164
8939,203,164
8989,203,164
9039,203,164
9089,203,164
9139,203,164
9189,203,164
9239,203,164
9289,203,164
9339,203,164
9389,203,164
9439,203,164
9489,203,164
9539,203,164
9589,203,164
9639,203,164
9689,203,164
9739,203,164
9789,203,164
9839,203,164
9889,204,164
9939,203,164
9989,203,164
10039,203,164
10089,203,164
10139,203,164
10189,203,164
10239,203,164
10294,203,164
10339,203,164
10389,203,164
10439,203,164
10489,204,164
10539,203,164
10589,204,164
10639,203,164
10689,203,164
10739,203,164
10789,204,164
10839,203,164
10889,204,164
10939,203,164
10989,203,164
11039,203,164
11089,203,164
11139,203,164
11189,203,164
11239,203,164
11289,203,164
11339,203,164
11389,203,164
11439,203,164
11489,203,164
11539,203,164
11589,203,164
11639,203,164
11689,203,164
11739,203,164
11789,203,164
11839,203,164
11889,203,164
11939,203,164
11989,203,164
12039,203,164
12089,203,164
12139,203,164
12189,203,164
12239,203,164
12289,203,164
12344,203,164
12389,203,164
12439,203,164
12489,203,164
12539,203,164
12589,203,164
12639,203,164
12689,203,164
12739,203,164
12789,203,164
12839,203,164
12889,203,164
12939,203,164
12989,203,164
13039,203,164
13089,203,164
13139,203,164
13189,203,164
13239,203,164
13289,203,164
13339,203,164
13389,203,164
13439,203,164
13489,203,164
13539,203,164
13589,203,164
13639,203,164
13689,203,163
13739,203,164
13789,203,164
13839,204,164
13889,203,164
13939,203,164
13989,203,164
14039,203,164
14089,203,164
14139,204,164
14189,203,164
14239,204,164
14289,203,164
14339,204,164
14394,203,164
14439,204,164
14489,203,163
14539,204,164
14589,203,164
14639,204,164
14689,203,163
14739,204,164
14789,203,164
14839,204,164
14889,203,163
14939,204,164
14989,203,163
15039,204,164
15089,203,163
15139,203,164
15189,203,163
15239,203,164
15289,203,163
15339,203,164
15389,203,163
15439,203,164
15489,203,163
15539,203,164
15589,203,163
15639,203,164
15689,203,164
15739,203,164
15789,203,164
15839,203,164
15889,203,164
15939,203,164
15989,203,164
16039,203,164
16089,203,164
16139,203,164
16189,203,164
