time,ch0_delta,ch1_delta,ch2_delta,ch3_delta,ch4_delta,ch5_delta,ch6_delta,ch7_delta
6.005,54.971666666666664,-17.748333333333335,23.40833333333333,0.37666666666666515,32.99666666666667,-26.985000000000014,4.143333333333345,6.49666666666667
6.015,54.964999999999975,-17.74333333333334,23.405,0.37999999999999545,32.99000000000001,-26.98333333333335,4.1416666666666515,6.498333333333335
6.025,54.968333333333334,-17.748333333333335,23.406666666666666,0.375,33.0,-26.98333333333335,4.14500000000001,6.498333333333335
6.035,54.96166666666667,-17.745000000000005,23.405,0.3783333333333303,32.99333333333334,-26.981666666666683,4.143333333333317,6.498333333333335
6.045,54.965,-17.75,23.406666666666666,0.375,33.00333333333333,-26.981666666666683,4.146666666666675,6.498333333333335
6.055,54.95833333333334,-17.74666666666667,23.403333333333336,0.37999999999999545,32.99666666666667,-26.980000000000018,4.144999999999982,6.498333333333335
6.065,54.96166666666667,-17.75333333333333,23.405,0.375,33.00666666666666,-26.980000000000018,4.1483333333333405,6.49666666666667
6.075,54.95500000000001,-17.75,23.403333333333336,0.3783333333333303,33.0,-26.976666666666688,4.146666666666647,6.49666666666667
6.085,54.95333333333332,-17.75666666666666,23.405,0.37333333333333485,33.00999999999999,-26.976666666666688,4.151666666666671,6.49666666666667
6.095,54.94666666666669,-17.75333333333336,23.403333333333336,0.37666666666666515,33.00333333333333,-26.976666666666688,4.148333333333312,6.498333333333335
6.105,54.94999999999999,-17.758333333333326,23.405,0.3716666666666697,33.00999999999999,-26.976666666666688,4.151666666666671,6.49666666666667
6.115,54.94333333333333,-17.755000000000024,23.405,0.375,33.00333333333333,-26.974999999999994,4.149999999999977,6.49666666666667
6.125,54.94833333333332,-17.76333333333332,23.406666666666666,0.37000000000000455,33.01333333333332,-26.975000000000023,4.155000000000001,6.4950000000000045
6.135,54.94166666666666,-17.76000000000002,23.405,0.37333333333333485,33.00666666666666,-26.97333333333333,4.151666666666642,6.4950000000000045
6.145,54.94499999999999,-17.765000000000015,23.406666666666666,0.37000000000000455,33.01666666666665,-26.973333333333358,4.155000000000001,6.493333333333339
6.155,54.93833333333333,-17.75999999999999,23.403333333333336,0.375,33.00999999999999,-26.971666666666664,4.149999999999977,6.493333333333339
6.165,54.94333333333336,-17.768333333333345,23.405,0.3716666666666697,33.01666666666665,-26.971666666666692,4.155000000000001,6.490000000000009
6.175,54.93666666666667,-17.76333333333332,23.40166666666667,0.375,33.00999999999999,-26.97,4.151666666666642,6.489999999999981
6.185,54.94,-17.77000000000001,23.403333333333336,0.37000000000000455,33.01666666666665,-26.970000000000027,4.156666666666666,6.4883333333333155
6.195,54.93333333333331,-17.76666666666665,23.400000000000006,0.375,33.00999999999999,-26.968333333333334,4.151666666666671,6.4883333333333155
6.205,54.935,-17.77333333333334,23.40166666666667,0.37000000000000455,33.02000000000001,-26.96666666666664,4.156666666666666,6.4883333333333155
6.215,54.92833333333331,-17.769999999999982,23.400000000000006,0.375,33.01333333333332,-26.965000000000003,4.151666666666671,6.488333333333344
6.225,54.93166666666667,-17.77666666666667,23.40166666666667,0.3716666666666697,33.02333333333334,-26.96666666666664,4.155000000000001,6.488333333333344
6.235,54.92500000000001,-17.773333333333312,23.40166666666667,0.375,33.01666666666665,-26.965000000000003,4.151666666666671,6.490000000000009
6.245,54.93333333333334,-17.781666666666666,23.403333333333336,0.37000000000000455,33.02333333333334,-26.964999999999975,4.156666666666666,6.491666666666674
6.255,54.92666666666668,-17.778333333333308,23.40166666666667,0.37333333333333485,33.01666666666665,-26.96333333333334,4.151666666666671,6.493333333333339
6.265,54.93333333333334,-17.784999999999997,23.403333333333336,0.3683333333333394,33.02333333333334,-26.96333333333331,4.156666666666666,6.49666666666667
6.275,54.92666666666668,-17.781666666666666,23.403333333333336,0.37333333333333485,33.01666666666665,-26.961666666666673,4.153333333333336,6.49666666666667
6.285,54.92833333333331,-17.789999999999992,23.405,0.3683333333333394,33.02333333333334,-26.961666666666645,4.158333333333331,6.498333333333335
6.295,54.92166666666668,-17.78666666666666,23.40166666666667,0.37333333333333485,33.014999999999986,-26.961666666666673,4.153333333333336,6.5
6.305,54.92833333333331,-17.791666666666657,23.403333333333336,0.3683333333333394,33.021666666666675,-26.96333333333334,4.156666666666666,6.501666666666665
6.315,54.92166666666665,-17.78666666666666,23.40166666666667,0.3716666666666697,33.014999999999986,-26.961666666666673,4.151666666666671,6.50333333333333
6.325,54.92500000000001,-17.791666666666657,23.403333333333336,0.36666666666667425,33.025000000000006,-26.961666666666673,4.156666666666666,6.505000000000024
6.335,54.91833333333332,-17.788333333333327,23.40166666666667,0.37000000000000455,33.01833333333332,-26.960000000000008,4.151666666666671,6.5049999999999955
