time,left_gate_raw,right_gate_raw
65594,449,345
65604,443,342
65614,448,345
65624,443,342
65634,446,345
65644,443,342
65654,447,345
65664,440,342
65674,448,345
65684,440,342
65694,448,346
65704,440,342
65714,445,345
65724,440,342
65734,447,345
65744,441,342
65754,446,346
65764,443,342
65774,448,346
65784,443,342
65794,448,346
65804,443,342
65814,448,345
65824,442,342
65834,448,346
65844,443,342
65854,449,346
65864,443,341
65874,448,345
65884,442,341
65894,448,345
65904,443,342
65914,449,345
65924,440,342
65934,446,345
65944,441,342
65954,448,346
65964,440,342
65974,447,345
65984,441,342
65994,448,346
66004,440,342
66014,447,346
66024,442,342
66034,448,346
66044,442,342
66054,445,346
66064,443,342
66074,446,346
66084,443,342
66094,449,346
66104,443,342
66114,448,345
66124,443,342
66134,449,345
66144,443,342
66154,449,345
66164,443,342
66174,449,346
66184,443,342
66194,449,346
66204,441,342
66214,449,346
66224,442,343
66234,449,345
66244,441,343
66254,449,346
66264,441,343
66274,448,346
66284,440,343
66294,448,346
66304,441,343
66314,449,346
66324,442,343
66339,449,343
66344,438,343
66354,446,346
66364,443,343
66374,448,346
66384,443,343
66394,449,346
66404,443,343
66414,449,346
66424,443,342
66434,449,346
66444,443,342
66454,449,346
66464,443,343
66474,449,346
66484,443,342
66494,449,345
66504,443,342
66514,449,345
66524,443,343
66534,449,345
66544,444,343
66554,449,346
66564,440,343
66574,447,346
66584,440,343
66594,447,346
66604,442,343
66614,447,346
66624,440,343
66634,449,346
66644,443,343
66654,447,346
66664,441,343
66674,446,346
66684,443,343
66694,448,347
66704,443,344
66714,449,346
66724,443,343
66734,449,346
66744,443,343
66754,449,347
66764,443,343
66774,450,348
66784,443,343
66794,449,347
66804,443,343
66814,450,347
66824,440,344
66834,450,347
66844,442,345
66854,450,348
66864,441,345
66874,447,348
66884,441,345
66894,447,348
66904,441,345
66914,447,348
66924,440,345
66934,448,348
66944,442,345
66954,447,348
66964,443,345
66974,449,348
66984,443,345
66994,448,348
67004,443,344
67014,449,348
67024,443,344
67034,450,348
67044,443,345
67054,450,348
67064,443,344
67074,450,347
67084,443,344
67094,450,348
67104,443,345
67114,450,348
67124,442,344
67134,450,348
67144,441,345
67154,450,348
67164,442,345
67174,448,348
67184,441,345
67194,448,348
67204,441,345
67214,447,348
67224,440,346
67234,450,351
67244,446,349
67254,456,353
67264,447,349
67274,453,353
67284,447,350
67294,454,353
67304,448,350
67314,453,353
67324,450,350
67334,456,353
67344,450,350
67354,456,353
67364,450,350
67374,456,353
67384,450,350
67394,456,353
67404,450,351
67414,456,354
67424,450,350
67434,456,354
67444,450,352
67454,456,355
67464,449,352
67474,456,355
67484,450,351
67494,454,355
67504,449,352
67514,454,355
67524,448,352
67534,454,355
67544,448,353
67554,453,356
67564,446,353
67574,454,356
67584,449,355
67594,455,358
67604,448,356
67614,452,360
67624,448,358
67634,455,360
67644,448,359
67654,455,361
67664,448,360
67674,455,363
67684,448,361
67694,454,365
67704,448,363
67714,454,366
67724,447,365
67734,454,367
67744,445,366
67754,454,368
67764,447,366
67774,454,368
67784,447,366
67794,451,369
67804,446,367
67814,454,370
67824,446,367
67834,451,369
67844,443,367
67854,451,369
67864,444,367
67874,451,369
67884,445,367
67894,451,370
67904,446,368
67914,453,369
67924,446,368
67934,453,369
67944,446,368
67954,454,369
67964,447,368
67974,454,369
67984,447,368
67994,455,368
68004,447,368
68014,455,369
68024,447,368
68034,454,369
68044,447,368
68054,455,369
68064,445,368
68074,455,369
68084,445,368
68094,453,369
68104,447,368
68114,452,368
68124,445,367
68134,454,367
68144,445,367
68154,454,367
68164,445,366
68174,456,367
68184,448,365
68194,455,366
68204,449,365
68214,454,365
68224,448,365
68234,454,365
68244,449,364
68254,454,365
68264,450,364
68274,458,364
68284,451,363
68294,458,363
68304,452,362
68314,460,362
68324,453,361
68334,461,361
68349,459,361
68354,458,359
68364,459,359
68374,467,358
68384,461,357
68394,468,357
68404,462,355
68414,470,355
68424,464,354
68434,472,354
68444,466,354
68454,474,354
68464,466,353
68474,476,353
68484,470,353
68494,478,353
68504,470,352
68514,479,352
68524,474,351
68534,481,352
68544,473,351
68554,479,351
68564,475,351
68574,482,351
68584,474,351
68594,482,351
68604,472,350
68614,479,351
68624,473,350
68634,479,350
68644,475,349
68654,482,348
68664,475,347
68674,482,348
68684,475,346
68694,482,347
68704,474,346
68714,481,347
68724,474,346
68734,480,347
68744,473,347
68754,479,347
68764,472,347
68774,479,347
68784,472,347
68794,479,347
68804,470,347
68814,477,347
68824,467,347
68834,475,347
68844,467,347
68854,477,347
68864,467,347
68874,473,347
68884,467,347
68894,472,348
68904,467,347
68914,471,348
68924,466,347
68934,470,347
68944,465,347
68954,473,347
68964,465,347
68974,472,347
68984,464,346
68994,472,347
69004,464,347
69014,472,347
69024,464,347
69034,471,347
69044,461,347
69054,471,348
69064,462,347
69074,471,348
69084,460,347
69094,471,348
69104,463,347
69114,471,348
69124,460,347
69134,470,348
69144,460,347
69154,468,348
69164,462,347
69174,468,348
69184,462,347
69194,468,348
69204,462,348
69214,470,347
69224,462,347
69234,470,347
69244,462,347
69254,470,348
69264,462,347
69274,470,347
69284,462,347
69294,469,347
69304,462,347
69314,469,347
69324,461,346
69334,468,347
69344,462,347
69354,468,348
69364,461,347
69374,468,347
69384,461,347
69394,466,348
69404,459,347
69414,468,348
69424,462,347
69434,467,348
69444,460,347
69454,467,348
69464,461,347
69474,467,348
69484,460,348
69494,466,348
69504,461,348
69514,467,347
69524,463,347
69534,466,347
69544,463,347
69554,465,347
69564,463,347
69574,465,347
69584,463,347
69594,469,347
69604,463,347
69614,469,347
69624,463,347
69634,470,347
69644,464,347
69654,470,347
69664,463,347
69674,469,347
69684,461,347
69694,470,347
69704,462,347
69714,467,347
69724,463,347
69734,470,347
69744,461,347
69754,469,347
69764,461,347
69774,468,347
69784,461,348
69794,467,348
69804,462,348
69814,466,349
69824,462,347
69834,466,347
69844,463,347
69854,468,348
69864,462,347
69874,469,347
69884,462,347
69894,467,347
69904,462,347
69914,467,347
69924,461,347
69934,467,347
69944,461,347
69954,467,348
69964,461,347
69974,466,348
69984,461,348
69994,465,348
70004,459,348
70014,464,348
70024,460,348
70034,466,348
70044,457,347
70054,465,348
70064,458,348
70074,465,348
70084,457,348
70094,464,348
70104,460,348
70114,465,347
70124,460,347
70134,465,347
70144,460,346
70154,466,348
70164,460,347
70174,465,347
70184,460,347
70194,467,347
70204,460,347
70214,467,347
70224,460,347
70234,467,347
70244,460,347
70254,467,347
70264,457,348
70274,467,347
70284,458,347
70294,467,348
70304,458,347
70314,464,348
70324,460,348
70334,467,348
70344,460,347
70359,460,346
70364,454,347
70374,466,348
70384,457,348
70394,464,348
70404,459,347
70414,464,348
70424,460,347
70434,466,347
70444,460,347
70454,464,347
70464,460,347
70474,467,347
70484,460,347
70494,467,347
70504,460,347
70514,467,347
70524,460,347
70534,467,347
70544,459,347
70554,467,347
70564,458,347
70574,468,348
70584,457,347
70594,468,347
70604,457,347
70614,467,348
70624,458,347
70634,464,348
70644,458,347
70654,465,347
70664,458,348
70674,465,348
70684,457,347
70694,466,347
70704,457,347
70714,465,348
70724,459,347
70734,464,347
70744,460,347
70754,464,347
70764,459,347
70774,466,348
70784,459,347
70794,467,347
70804,459,347
70814,466,347
70824,459,347
70834,467,347
70844,459,347
70854,466,347
70864,459,348
70874,466,347
