time, ch0_left_gate_raw, ch0_right_gate_raw, ch1_left_gate_raw, ch1_right_gate_raw, ch2_left_gate_raw, ch2_right_gate_raw, ch3_left_gate_raw, ch3_right_gate_raw
16391,313,273,784,650,262,220,267,248
16400,299,261,1147,996,269,222,263,247
16401,312,272,782,649,262,220,267,247
16410,301,262,1141,1018,270,222,265,248
16411,312,273,781,649,262,221,268,248
16420,299,261,1145,999,269,222,263,247
16421,312,271,796,658,263,221,268,248
16430,301,262,1140,1016,270,222,266,248
16431,313,273,781,650,262,220,267,248
16440,300,261,1143,998,269,222,264,247
16441,312,272,779,647,262,220,267,247
16450,301,262,1143,1016,270,222,265,248
16451,312,272,789,654,263,221,268,248
16460,299,261,1146,998,269,222,263,247
16461,312,272,781,646,262,220,267,247
16470,301,262,1144,1016,270,222,265,248
16471,312,272,786,651,262,220,268,248
16480,300,261,1143,1000,269,222,264,247
16481,313,272,786,653,262,220,267,247
16490,301,262,1144,1016,270,222,265,248
16491,312,272,784,649,262,220,267,248
16500,299,261,1143,999,269,222,264,247
16501,312,272,783,650,262,220,266,247
16510,302,262,1142,1015,270,222,265,248
16511,312,273,769,648,261,220,267,247
16520,300,261,1144,1000,269,222,264,247
16521,312,272,781,649,262,220,267,247
16530,301,262,1148,1017,270,222,265,248
16531,313,272,784,652,262,221,267,248
16540,300,261,1146,1002,269,222,264,247
16541,312,272,785,651,262,220,267,247
16550,302,262,1146,1017,270,222,265,248
16551,313,272,786,651,262,220,267,248
16560,299,261,1150,1002,269,222,264,247
16561,312,272,788,651,262,220,267,247
16570,301,262,1146,1020,270,222,265,248
16571,313,272,787,652,262,221,268,248
16580,300,261,1144,999,269,222,265,247
16581,311,271,797,659,263,221,268,248
16590,301,262,1145,1016,270,222,265,248
16591,312,272,776,651,261,220,266,247
16600,300,261,1147,1001,269,222,264,247
16601,312,272,781,647,262,220,267,247
16610,301,262,1145,1011,269,222,265,248
16611,312,272,780,647,262,220,267,247
16620,300,261,1145,1002,269,222,264,247
16621,312,272,779,645,262,220,267,247
16630,301,262,1144,1016,270,222,265,248
16631,312,273,783,647,262,220,267,248
16640,300,261,1147,1001,269,222,263,247
16641,312,272,783,649,262,220,267,247
16650,301,262,1145,1017,270,222,265,248
16651,313,272,781,649,262,220,267,247
16660,299,261,1148,999,269,222,264,247
16661,312,272,778,645,262,221,267,247
16670,302,262,1146,1016,270,222,266,248
16671,312,273,787,654,262,221,268,248
16680,299,261,1148,1005,269,222,264,247
16681,312,272,790,653,262,220,267,248
16690,301,262,1151,1016,270,222,265,248
16691,312,272,776,649,262,220,267,247
16700,300,261,1148,1003,269,222,264,247
16701,312,271,787,652,262,220,267,247
16710,300,262,1148,1014,270,222,265,248
16711,312,272,787,651,262,220,267,248
16720,300,261,1148,1003,269,222,264,247
16721,313,272,788,655,262,220,267,247
16730,301,262,1148,1028,270,222,265,248
16731,312,272,789,658,262,220,267,248
16740,299,261,1148,1002,269,222,264,247
16741,312,272,788,652,262,220,267,247
16750,301,262,1144,1017,270,222,265,248
16751,313,272,788,652,262,220,267,248
16760,299,261,1153,1001,269,222,264,247
16761,313,272,787,654,262,220,267,247
16770,301,262,1147,1019,270,222,265,248
16771,312,272,788,654,262,220,268,248
16780,299,261,1151,1002,269,222,264,247
16781,312,272,790,653,262,220,267,247
16790,301,262,1147,1017,270,222,265,248
16791,312,273,783,650,262,220,267,248
16800,300,261,1153,1002,269,222,264,247
16801,312,272,790,654,262,220,267,247
16810,301,262,1148,1017,270,222,265,248
16811,313,273,785,652,262,220,267,248
16820,299,261,1152,1000,269,222,264,247
16821,313,272,788,655,262,220,267,247
16830,301,262,1150,1017,270,222,265,248
16831,313,272,788,652,262,220,268,248
16840,300,261,1150,1002,269,222,264,247
16841,313,272,787,652,262,220,267,247
16850,301,262,1148,1015,270,222,265,248
16851,312,272,781,653,262,220,267,248
16860,300,261,1149,1002,269,222,264,247
16861,312,272,788,653,262,220,267,248
16870,301,262,1150,1016,270,222,265,248
16871,313,272,787,652,262,220,267,248
16880,300,261,1147,999,269,222,264,247
16881,312,272,788,653,262,220,267,247
16890,302,262,1151,1017,270,222,266,248
16891,312,273,783,651,262,220,267,248
16900,300,261,1150,1003,269,222,264,247
16901,312,272,789,653,262,220,267,247
16910,302,262,1152,1017,270,222,265,248
16911,313,273,791,653,262,220,267,248
16920,300,261,1155,1003,269,222,264,247
16921,313,272,783,650,262,220,267,247
16930,301,262,1154,1014,270,222,265,248
16931,313,272,788,655,262,220,268,248
16940,299,261,1154,999,269,222,264,247
16941,313,272,791,655,262,221,268,247
16950,301,262,1155,1017,270,222,265,248
16951,313,272,789,655,262,220,267,248
16960,299,261,1153,1002,269,221,264,247
16961,313,272,790,655,262,220,267,247
16970,301,262,1150,1015,270,222,266,248
16971,312,272,787,653,262,220,267,248
16980,300,261,1153,1003,269,222,264,247
16981,313,272,790,654,262,220,267,247
16990,301,262,1153,1018,270,222,266,248
16991,312,272,787,652,262,220,267,248
17000,300,261,1157,1002,269,222,264,247
17001,313,272,788,652,262,220,267,248
17010,301,262,1151,1017,270,222,265,248
17011,312,272,785,650,262,220,267,248
17020,299,261,1155,1003,269,222,264,247
17021,313,272,791,655,263,221,267,247
17030,302,262,1153,1014,270,222,265,248
17031,313,272,787,649,262,220,268,248
17040,299,261,1154,1002,269,222,264,247
17041,313,272,792,657,262,220,267,248
17050,301,262,1154,1016,270,222,265,248
17051,312,272,781,649,262,220,267,248
17060,299,261,1155,1005,269,222,264,247
17061,312,272,786,651,262,220,267,247
17070,301,263,1152,1015,270,222,265,248
17071,313,272,785,650,262,220,267,248
17080,299,261,1156,1003,269,222,264,247
17081,312,272,793,653,263,220,267,248
17090,302,262,1150,1014,270,222,265,248
17091,312,272,787,654,262,220,267,248
17100,299,261,1156,1002,269,222,264,247
17101,313,272,788,651,262,220,267,247
17110,301,262,1151,1018,269,222,265,248
17111,312,272,786,652,262,220,267,248
17120,299,262,1159,1003,269,222,264,247
17121,313,272,789,654,262,220,267,247
17130,302,262,1154,1017,270,222,265,248
17131,313,273,768,651,262,220,267,247
17140,299,261,1157,1001,269,222,264,247
17141,313,272,790,654,262,220,267,247
17150,302,262,1153,1017,270,222,265,248
17151,313,273,787,652,262,220,267,248
17160,299,261,1157,1003,269,222,264,247
17161,313,272,786,655,262,221,267,247
17170,302,262,1157,1019,270,222,265,248
17171,313,273,787,652,262,220,268,248
17180,300,260,1157,1002,269,222,264,247
17181,312,272,792,656,262,220,267,247
17190,301,262,1158,1018,270,222,265,248
17191,313,272,789,654,262,220,268,248
17200,300,261,1159,1004,269,222,264,247
17201,312,272,791,656,262,220,267,248
17210,301,262,1155,1017,270,222,265,248
17211,313,272,783,651,262,220,267,248
