time,ch0_left_gate_raw,ch0_right_gate_raw,ch1_left_gate_raw,ch1_right_gate_raw,ch2_left_gate_raw,ch2_right_gate_raw,ch3_left_gate_raw,ch3_right_gate_raw,ch4_left_gate_raw,ch4_right_gate_raw,ch5_left_gate_raw,ch5_right_gate_raw,ch6_left_gate_raw,ch6_right_gate_raw,ch7_left_gate_raw,ch7_right_gate_raw
272925,222,165,195,221,208,180,225,226,234,199,219,249,225,219,227,233
272935,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
272945,222,165,195,221,208,179,225,225,234,199,219,249,225,219,227,233
272955,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
272965,222,165,195,220,209,180,225,225,234,199,219,249,225,219,227,233
272975,232,170,203,230,213,183,230,233,243,204,224,254,225,219,223,230
272985,222,165,195,221,209,180,225,225,234,199,219,249,225,219,227,233
272995,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
273005,222,165,195,221,209,179,225,225,234,199,219,249,225,219,227,233
273015,232,169,202,230,213,182,230,233,243,204,224,254,225,219,225,230
273025,222,165,195,221,209,179,225,225,233,199,220,249,225,219,227,233
273035,232,169,202,230,213,182,230,232,243,204,224,254,225,219,224,230
273045,222,165,195,221,209,180,225,225,234,199,219,249,225,219,227,233
273055,232,169,202,230,213,182,230,232,243,204,224,254,225,219,225,230
273065,222,165,195,221,209,180,225,225,234,199,219,249,225,219,227,233
273075,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
273085,222,165,195,221,209,180,225,225,234,199,219,249,225,219,227,233
273095,232,169,202,230,213,182,230,233,243,204,224,254,225,219,225,230
273105,222,165,195,221,209,179,225,225,234,199,219,249,225,219,227,233
273115,232,169,202,230,213,182,230,232,243,204,224,254,225,219,224,230
273125,222,165,195,221,208,179,225,225,234,199,219,249,225,219,227,233
273135,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
273145,222,165,195,221,209,179,225,226,234,199,219,249,225,219,227,233
273155,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,229
273165,222,165,195,221,209,180,225,225,234,199,219,248,226,219,227,233
273175,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
273185,222,165,195,221,209,179,225,225,234,199,219,249,225,219,227,233
273195,232,169,202,230,213,182,230,233,243,204,224,254,225,219,224,230
