time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
12771,11,-8,31,-37,63,-25,41,-20
12781,12,-8,31,-38,63,-25,43,-20
12791,12,-8,30,-39,61,-25,42,-20
12801,12,-8,30,-38,64,-24,42,-20
12811,12,-7,31,-38,62,-25,42,-20
12821,12,-8,31,-37,65,-25,42,-19
12831,12,-8,31,-37,68,-25,42,-20
12841,11,-8,31,-37,64,-25,44,-20
12851,12,-8,31,-37,63,-26,42,-20
12861,12,-7,30,-38,66,-25,44,-20
12871,12,-8,30,-38,66,-25,42,-20
12881,12,-8,30,-37,63,-25,43,-20
12891,12,-7,30,-37,68,-24,41,-20
12901,12,-8,31,-38,64,-26,42,-20
12911,13,-4,27,-38,62,-25,42,-20
12921,13,-8,31,-38,67,-25,43,-20
12931,12,-8,31,-38,64,-26,42,-20
12941,12,-8,31,-38,63,-25,43,-20
12951,13,-7,30,-38,64,-25,43,-20
12961,12,-8,31,-38,64,-25,44,-20
12971,12,-7,30,-38,63,-26,42,-20
12981,12,-8,31,-38,63,-25,43,-20
12991,12,-8,31,-38,63,-25,42,-20
13001,12,-8,31,-38,66,-25,43,-20
13011,12,-8,31,-38,62,-26,43,-20
13021,12,-8,31,-38,64,-25,43,-20
13031,12,-8,30,-37,63,-26,43,-20
13041,12,-8,31,-37,65,-25,43,-20
13051,12,-8,31,-38,63,-25,43,-20
13061,11,-8,31,-37,63,-25,43,-20
13071,12,-8,30,-37,63,-25,42,-20
13081,12,-8,31,-37,63,-26,41,-20
13091,12,-8,31,-38,63,-25,42,-20
13101,12,-8,31,-38,63,-25,41,-20
13111,12,-7,30,-38,62,-25,41,-20
13121,12,-8,31,-38,63,-25,41,-20
13131,12,-8,31,-37,63,-25,41,-20
13141,12,-8,31,-37,63,-25,43,-20
13151,12,-8,31,-38,64,-25,42,-20
13161,12,-8,31,-38,63,-26,42,-20
13171,12,-8,31,-37,67,-26,41,-21
13181,12,-8,30,-37,63,-25,43,-20
13191,12,-7,30,-38,63,-25,41,-20
13201,12,-8,31,-38,63,-25,42,-20
13211,12,-4,27,-37,62,-24,42,-20
13221,13,-8,31,-38,63,-24,41,-20
13231,12,-7,30,-39,61,-25,43,-21
13241,12,-8,31,-37,62,-25,43,-20
13251,12,-7,30,-38,63,-26,42,-20
13261,12,-8,31,-38,66,-24,43,-20
13271,12,-8,31,-38,64,-26,43,-20
13281,11,-8,30,-38,64,-25,44,-20
13291,12,-8,31,-37,64,-26,42,-20
13301,12,-8,31,-37,63,-25,43,-20
13311,12,-8,30,-38,62,-25,42,-20
13321,12,-8,31,-38,62,-25,44,-20
13331,12,-7,30,-37,63,-25,42,-20
13341,12,-8,31,-37,64,-25,42,-20
13351,12,-8,31,-38,62,-24,41,-21
13361,12,-8,30,-37,63,-24,41,-20
13371,12,-8,31,-37,63,-25,43,-20
13381,12,-8,31,-37,63,-24,41,-20
13391,12,-8,31,-38,63,-25,43,-20
13401,12,-8,31,-38,63,-25,43,-20
13411,12,-7,30,-38,61,-25,41,-20
13421,12,-8,31,-37,65,-25,44,-20
13431,12,-8,31,-38,62,-25,42,-20
13441,12,-8,30,-39,63,-26,44,-20
13451,12,-8,31,-38,64,-25,43,-20
13461,11,-8,31,-37,63,-26,43,-20
13471,12,-8,31,-38,63,-25,42,-20
13481,12,-8,31,-38,64,-25,42,-20
13491,12,-8,31,-38,62,-26,42,-20
13501,12,-8,31,-37,63,-25,41,-20
13511,12,-8,31,-38,62,-25,43,-20
13521,12,-9,32,-38,63,-25,43,-20
13531,12,-8,31,-38,63,-26,43,-20
13541,12,-8,31,-38,63,-25,42,-20
13551,12,-8,31,-38,62,-26,42,-20
13561,12,-8,31,-37,65,-25,44,-20
13571,12,-8,31,-37,63,-26,42,-21
13581,12,-8,31,-38,63,-25,41,-20
13591,12,-8,31,-38,62,-25,42,-20
13601,12,-8,31,-38,63,-24,43,-20
13611,12,-8,31,-38,62,-25,42,-20
13621,12,-8,31,-38,62,-24,43,-20
13631,12,-8,31,-38,62,-26,41,-20
13641,12,-8,31,-38,61,-25,44,-20
13651,12,-8,31,-37,64,-26,42,-20
13661,11,-8,31,-37,63,-25,43,-20
13671,12,-8,31,-38,63,-27,41,-19
13681,12,-8,31,-38,62,-25,41,-20
13691,12,-8,31,-38,63,-25,42,-20
13701,12,-8,31,-37,68,-25,44,-21
13711,12,-8,30,-39,63,-26,41,-20
13721,12,-8,31,-38,63,-24,41,-21
13731,12,-7,30,-37,67,-25,41,-20
13741,12,-8,31,-37,63,-25,43,-21
13751,12,-7,30,-38,63,-25,42,-20
13761,12,-7,30,-38,65,-25,43,-21
13771,13,-8,30,-37,67,-26,41,-20
13781,12,-8,30,-38,63,-26,44,-21
13791,13,-8,29,-38,62,-26,42,-19
13801,11,-7,31,-38,64,-25,44,-21
13811,13,-9,31,-38,63,-25,42,-20
13821,11,-7,30,-38,57,-26,44,-20
13831,12,-8,30,-38,63,-26,42,-19
13841,11,-7,30,-38,63,-26,44,-22
13851,13,-9,31,-37,63,-21,41,-19
13861,12,-6,29,-38,63,-25,42,-22
13871,13,-8,29,-38,62,-25,41,-19
13881,11,-7,31,-38,63,-25,42,-22
13891,14,-8,30,-38,62,-24,42,-19
13901,11,-5,30,-38,64,-26,44,-22
13911,13,-10,30,-38,63,-26,42,-19
13921,11,-6,30,-39,63,-26,42,-22
13931,13,-8,30,-38,62,-24,41,-19
13941,11,-6,30,-38,63,-26,44,-22
13951,13,-9,30,-38,62,-25,42,-19
13961,11,-6,30,-37,62,-25,44,-21
13971,13,-9,30,-38,65,-24,41,-19
13981,11,-6,30,-38,62,-26,44,-22
13991,13,-10,31,-39,64,-25,42,-19
14001,6,-6,30,-38,63,-26,42,-23
14011,13,-9,31,-38,63,-24,42,-19
14021,11,-5,29,-38,66,-26,44,-21
14031,13,-10,30,-39,63,-25,42,-19
14041,12,-5,30,-38,63,-25,44,-22
14051,13,-10,31,-38,63,-25,42,-19
14061,11,-5,30,-38,63,-26,44,-22
14071,13,-9,30,-38,65,-25,42,-19
14081,11,-5,30,-38,65,-26,44,-21
14091,13,-8,29,-38,62,-25,42,-19
14101,10,-7,31,-38,63,-26,43,-21
14111,13,-10,31,-38,62,-24,41,-19
14121,11,-6,30,-38,64,-25,43,-21
14131,12,-9,30,-38,62,-25,42,-19
14141,11,-6,30,-38,66,-24,44,-22
14151,13,-9,31,-38,62,-25,42,-19
14161,11,-5,30,-38,63,-25,44,-22
14171,13,-9,31,-38,62,-24,40,-19
14181,12,-5,30,-38,63,-25,43,-22
14191,14,-9,31,-38,62,-24,40,-19
14201,11,-5,30,-38,62,-26,44,-21
14211,11,-10,30,-39,63,-25,41,-19
14221,11,-5,30,-38,63,-26,44,-22
14231,13,-9,30,-38,62,-26,42,-19
14241,12,-5,31,-38,63,-25,44,-21
14251,14,-9,31,-38,62,-25,40,-19
14261,11,-5,30,-38,64,-27,44,-21
14271,14,-9,30,-38,62,-25,42,-19
14281,11,-5,29,-37,64,-27,41,-22
14291,13,-9,30,-38,64,-24,43,-19
14301,11,-5,30,-38,63,-26,44,-21
14311,12,-9,30,-38,64,-25,40,-19
14321,11,-5,29,-37,64,-26,43,-21
14331,13,-9,30,-38,62,-25,42,-19
14341,11,-5,30,-38,61,-25,44,-21
14351,14,-8,30,-38,63,-25,42,-19
14361,11,-5,30,-38,66,-26,44,-22
14371,14,-10,31,-38,62,-25,43,-19
14381,11,-3,28,-38,64,-26,44,-22
14391,13,-9,30,-38,63,-25,43,-19
14401,10,-5,30,-38,63,-26,44,-21
14411,14,-9,30,-38,61,-25,42,-19
14421,11,-5,30,-38,61,-27,43,-21
14431,13,-10,30,-38,63,-25,41,-19
14441,11,-5,30,-37,63,-25,44,-21
14451,14,-10,31,-38,62,-25,42,-19
14461,11,-5,30,-38,64,-25,44,-22
14471,14,-9,30,-38,64,-25,41,-19
14481,11,-5,30,-37,64,-25,44,-21
14491,12,-10,30,-39,62,-24,41,-19
14501,11,-5,30,-38,64,-26,44,-22
14511,14,-8,29,-39,62,-25,40,-19
14521,11,-5,30,-38,64,-25,44,-21
14531,12,-9,30,-39,63,-24,41,-19
14541,11,-6,30,-38,63,-26,43,-21
14551,12,-9,30,-38,65,-25,42,-19
14561,11,-5,30,-37,63,-26,43,-21
14571,12,-10,30,-38,63,-25,41,-19
14581,11,-5,30,-38,63,-27,44,-21
14591,13,-9,30,-39,62,-24,40,-19
14601,11,-5,30,-38,62,-27,44,-21
14611,13,-9,31,-38,61,-25,42,-18
14621,11,-6,29,-38,63,-26,43,-21
14631,14,-9,30,-38,62,-25,41,-19
14641,11,-5,30,-38,64,-25,43,-21
14651,13,-9,31,-39,62,-25,41,-19
14661,11,-5,30,-38,63,-26,44,-21
14671,12,-10,30,-38,62,-26,42,-19
14681,11,-5,30,-38,65,-26,44,-21
14691,13,-9,30,-38,61,-24,40,-19
14701,11,-6,32,-38,63,-27,44,-22
14711,13,-9,30,-38,62,-25,42,-18
14721,11,-5,30,-38,64,-26,44,-21
14731,14,-8,30,-38,61,-24,43,-19
14741,11,-5,30,-38,61,-27,43,-21
14751,12,-9,30,-39,60,-25,42,-19
14761,11,-5,30,-38,63,-26,44,-22
14771,12,-10,30,-38,63,-25,40,-19
14781,11,-5,30,-37,63,-26,43,-22
14791,12,-9,31,-39,62,-25,41,-19
14801,11,-5,31,-38,63,-25,44,-22
14811,13,-8,29,-38,64,-25,42,-19
14821,11,-5,30,-37,64,-26,44,-21
14831,13,-9,31,-38,63,-25,41,-19
14841,11,-5,30,-39,63,-26,44,-22
14851,12,-9,30,-39,67,-24,41,-19
14861,11,-5,30,-38,64,-26,42,-22
14871,12,-9,30,-38,62,-24,40,-19
14881,11,-5,30,-38,63,-26,43,-21
14891,13,-9,30,-37,62,-25,41,-19
14901,11,-5,30,-38,66,-26,43,-21
14911,13,-10,30,-38,63,-24,40,-19
14921,11,-6,30,-38,63,-26,43,-21
14931,13,-10,30,-38,61,-26,42,-19
14941,11,-5,29,-38,63,-25,39,-21
14951,12,-10,30,-39,62,-25,41,-19
14961,11,-5,30,-38,63,-26,44,-21
14971,14,-10,31,-38,64,-25,42,-18
14981,10,-5,30,-37,64,-26,43,-21
14991,13,-9,31,-38,63,-25,42,-19
15001,11,-5,30,-37,63,-26,44,-22
15011,14,-10,29,-39,62,-26,41,-19
15021,11,-5,30,-38,62,-26,43,-21
15031,13,-9,31,-38,64,-25,41,-19
15041,11,-5,30,-37,57,-26,44,-21
15051,13,-10,31,-38,64,-25,42,-19
15061,11,-5,30,-38,63,-26,44,-21
15071,13,-9,32,-38,62,-25,42,-19
15081,11,-5,30,-38,66,-26,44,-21
15091,14,-10,30,-38,62,-25,42,-19
15101,11,-5,30,-38,61,-25,43,-21
15111,13,-10,31,-38,62,-24,43,-19
15121,12,-5,30,-38,68,-26,43,-21
15131,13,-10,30,-38,62,-25,43,-18
15141,11,-5,30,-38,62,-26,44,-21
15151,14,-11,30,-38,63,-24,42,-19
15161,11,-6,30,-38,63,-25,43,-21
15171,13,-10,30,-39,63,-24,41,-19
15181,12,-5,30,-37,63,-26,44,-21
15191,13,-10,30,-38,64,-25,40,-19
15201,11,-5,30,-31,64,-26,44,-21
15211,13,-10,30,-38,62,-25,41,-19
15221,11,-5,30,-38,63,-25,43,-21
15231,13,-9,30,-38,62,-25,42,-18
15241,12,-5,32,-37,64,-26,44,-22
15251,13,-10,30,-39,62,-24,41,-19
15261,11,-5,30,-38,63,-26,44,-21
15271,13,-6,27,-39,63,-25,42,-19
15281,11,-6,32,-37,63,-26,44,-21
15291,13,-10,30,-38,61,-25,42,-18
15301,10,-5,30,-38,63,-26,44,-22
15311,14,-11,31,-38,62,-26,42,-19
15321,11,-5,30,-38,64,-26,44,-21
15331,14,-10,30,-38,62,-25,43,-20
15341,11,-5,30,-38,64,-26,44,-21
15351,14,-10,31,-39,61,-25,43,-19
15361,11,-5,30,-38,63,-26,44,-21
15371,13,-10,30,-38,62,-25,43,-19
15381,11,-5,30,-37,63,-27,44,-21
15391,13,-9,31,-38,64,-25,43,-19
15401,11,-5,31,-38,64,-26,44,-21
15411,13,-10,30,-39,62,-25,42,-20
15421,10,-5,30,-39,63,-26,43,-22
15431,14,-9,30,-39,59,-26,42,-19
15441,11,-5,30,-37,65,-25,43,-21
15451,13,-10,30,-38,66,-26,42,-19
15461,11,-5,30,-37,63,-26,43,-20
15471,13,-10,30,-39,64,-24,42,-18
15481,11,-5,30,-38,64,-26,43,-21
15491,13,-10,30,-38,62,-24,40,-20
15501,11,-5,30,-38,63,-26,43,-21
15511,12,-10,31,-38,63,-25,41,-19
15521,10,-5,30,-37,62,-25,43,-21
15531,12,-9,30,-38,63,-24,41,-19
15541,11,-5,30,-38,64,-26,45,-21
15551,13,-9,30,-38,62,-25,40,-19
15561,11,-5,30,-38,63,-26,44,-21
15571,13,-10,30,-40,61,-25,41,-19
15581,11,-5,30,-38,63,-25,42,-21
15591,14,-10,30,-39,62,-25,43,-19
15601,11,-5,31,-37,63,-25,43,-21
15611,13,-9,30,-38,66,-25,43,-19
15621,11,-6,30,-37,63,-26,43,-21
15631,13,-10,30,-38,62,-25,42,-19
15641,11,-5,30,-38,63,-26,44,-21
15651,12,-9,30,-38,63,-25,40,-19
15661,10,-5,30,-38,63,-25,43,-21
15671,14,-10,30,-38,61,-26,41,-19
15681,11,-5,30,-37,64,-27,44,-21
15691,13,-10,29,-38,61,-25,43,-19
15701,11,-5,31,-37,64,-26,43,-21
15711,13,-10,30,-39,61,-25,43,-18
15721,11,-5,30,-37,64,-25,42,-21
15731,13,-10,30,-39,63,-24,41,-19
15741,11,-5,30,-37,64,-26,42,-21
15751,13,-9,30,-38,63,-24,43,-19
15761,11,-5,30,-38,64,-25,44,-21
15771,13,-10,30,-39,62,-24,40,-19
15781,11,-5,30,-38,63,-25,43,-21
15791,14,-10,30,-39,62,-25,42,-19
15801,11,-5,30,-36,63,-25,44,-21
15811,13,-10,30,-39,61,-24,40,-19
15821,11,-5,30,-37,63,-26,42,-21
15831,13,-9,30,-38,64,-24,41,-19
15841,11,-5,30,-38,64,-26,44,-21
15851,13,-10,30,-38,63,-24,41,-19
15861,11,-6,30,-36,63,-27,43,-21
15871,13,-10,30,-38,63,-25,41,-19
15881,11,-5,30,-38,63,-26,44,-21
15891,12,-10,30,-39,63,-26,41,-19
15901,11,-5,31,-37,63,-25,44,-21
15911,13,-10,30,-38,63,-25,42,-19
15921,11,-5,31,-38,63,-25,43,-21
15931,14,-10,29,-39,63,-25,42,-19
15941,11,-5,31,-37,64,-26,43,-22
15951,11,-9,30,-39,62,-25,42,-18
15961,11,-5,31,-37,64,-26,43,-21
15971,13,-10,30,-39,62,-25,42,-19
15981,11,-5,30,-38,64,-25,44,-21
15991,13,-9,30,-38,66,-24,42,-19
16001,11,-5,31,-37,63,-26,44,-21
16011,13,-10,30,-39,62,-25,42,-20
16021,11,-5,30,-36,64,-25,44,-21
16031,13,-10,30,-38,62,-25,41,-19
16041,11,-5,30,-38,63,-25,43,-20
16051,13,-10,30,-39,63,-25,41,-19
16061,11,-5,30,-38,63,-26,43,-21
16071,13,-10,30,-38,62,-25,43,-19
16081,11,-5,30,-38,64,-26,44,-21
16091,12,-10,30,-37,62,-25,41,-19
16101,11,-5,31,-37,63,-25,44,-20
16111,14,-10,30,-39,63,-25,40,-19
16121,11,-5,31,-37,64,-26,44,-21
16131,13,-10,30,-38,64,-25,42,-19
16141,10,-5,31,-38,62,-26,44,-21
16151,13,-10,30,-38,61,-25,43,-19
16161,11,-6,33,-38,64,-25,44,-21
16171,13,-10,30,-39,63,-26,42,-19
16181,11,-5,30,-38,64,-26,44,-21
16191,13,-10,30,-39,63,-25,42,-19
16201,10,-5,30,-38,64,-26,43,-21
16211,13,-10,30,-38,61,-25,40,-19
16221,11,-5,31,-39,60,-24,44,-21
16231,13,-10,30,-38,63,-25,43,-19
16241,11,-5,31,-38,62,-25,43,-20
16251,13,-10,29,-38,64,-25,42,-19
16261,11,-5,31,-37,63,-26,44,-21
16271,13,-10,30,-39,64,-25,43,-19
16281,11,-5,31,-37,62,-26,44,-21
16291,13,-10,30,-38,63,-23,43,-19
16301,11,-5,31,-37,66,-25,44,-21
16311,13,-11,31,-38,64,-24,43,-19
16321,11,-5,31,-38,62,-26,43,-22
16331,13,-10,30,-37,62,-24,43,-19
16341,11,-5,31,-38,64,-26,44,-21
16351,13,-10,30,-38,62,-25,40,-19
16361,11,-5,31,-37,67,-26,44,-21
16371,13,-10,30,-38,64,-24,42,-19
16381,11,-5,31,-38,64,-27,44,-22
16391,13,-10,30,-38,62,-25,41,-19
16401,11,-5,30,-37,64,-26,43,-21
16411,13,-10,30,-38,63,-24,42,-19
16421,11,-5,30,-38,63,-25,44,-20
16431,13,-10,30,-38,62,-24,41,-20
16441,11,-5,31,-37,63,-26,43,-21
16451,13,-10,30,-38,62,-25,42,-19
16461,11,-5,31,-38,64,-25,43,-21
16471,13,-10,30,-39,62,-25,40,-19
16481,11,-5,31,-37,65,-26,44,-21
16491,13,-10,30,-37,63,-26,41,-19
16501,11,-5,31,-37,63,-25,44,-21
16511,13,-10,30,-36,62,-25,42,-19
16521,11,-5,31,-37,64,-25,44,-21
16531,13,-10,30,-39,63,-25,43,-19
16541,11,-5,31,-37,63,-26,43,-22
16551,13,-10,30,-39,62,-25,40,-19
16561,11,-5,31,-38,64,-26,42,-21
16571,13,-10,30,-39,61,-25,43,-19
16581,11,-5,31,-38,63,-26,43,-21
16591,13,-10,30,-38,64,-24,42,-19
16601,11,-5,31,-38,64,-26,43,-21
16611,13,-10,30,-38,63,-25,43,-19
16621,11,-5,31,-38,65,-27,45,-20
16631,13,-10,30,-38,63,-24,41,-19
16641,11,-5,31,-37,64,-26,44,-21
16651,13,-10,30,-39,62,-24,43,-19
16661,11,-5,31,-37,63,-25,44,-21
16671,13,-10,30,-38,62,-25,40,-20
