time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
4050343,26,-36,42,-41,72,-34,51,-30
4050353,26,-36,43,-41,69,-34,52,-28
4050363,27,-36,42,-40,68,-34,52,-29
4050373,26,-36,43,-41,68,-34,49,-29
4050383,26,-36,42,-42,67,-33,52,-30
4050393,26,-37,42,-40,67,-34,52,-30
4050403,26,-37,43,-41,67,-34,53,-30
4050413,26,-36,44,-40,67,-33,52,-30
4050423,26,-36,42,-42,68,-34,50,-31
4050433,26,-37,43,-40,67,-34,53,-30
4050443,26,-36,43,-42,68,-34,53,-31
4050453,26,-37,44,-41,67,-35,53,-31
4050463,26,-37,43,-40,68,-32,48,-30
4050473,26,-37,44,-40,68,-34,53,-31
4050483,26,-37,43,-42,68,-34,52,-30
4050493,26,-37,44,-41,68,-34,52,-30
4050503,26,-37,43,-41,68,-34,52,-31
4050513,26,-37,43,-42,72,-33,51,-30
4050523,27,-37,44,-41,66,-34,52,-31
4050533,26,-38,43,-42,68,-36,52,-30
4050543,26,-38,43,-42,67,-33,51,-30
4050553,26,-38,43,-41,67,-34,51,-29
4050563,26,-38,43,-41,67,-35,52,-30
4050573,26,-39,44,-40,69,-34,51,-30
4050583,26,-37,43,-41,69,-34,52,-25
4050593,26,-39,43,-40,68,-34,52,-31
4050603,27,-38,43,-41,68,-33,53,-30
4050613,26,-38,43,-41,68,-33,51,-31
4050623,27,-38,43,-42,66,-33,51,-29
4050633,27,-39,43,-40,68,-34,49,-30
4050643,27,-38,43,-41,67,-35,52,-30
4050653,26,-38,43,-40,68,-34,48,-31
4050663,27,-38,42,-42,66,-34,51,-30
4050673,27,-38,43,-40,67,-35,52,-30
4050683,26,-38,42,-41,69,-34,51,-30
4050693,27,-38,43,-41,69,-34,50,-30
4050703,27,-38,43,-41,63,-34,53,-31
4050713,26,-37,43,-41,69,-31,52,-30
4050723,26,-38,43,-42,68,-34,52,-31
4050733,28,-38,44,-41,67,-34,50,-30
4050743,27,-38,44,-42,68,-33,50,-31
4050753,27,-38,44,-41,68,-33,49,-30
4050763,27,-39,43,-43,68,-33,52,-30
4050773,27,-38,44,-41,68,-34,52,-30
4050783,27,-39,44,-42,68,-34,51,-30
4050793,27,-38,42,-42,69,-34,52,-30
4050803,26,-38,44,-42,71,-34,51,-30
4050813,26,-37,44,-41,68,-36,50,-31
4050823,27,-38,43,-42,69,-34,51,-31
4050833,26,-38,44,-41,69,-34,51,-30
4050843,28,-38,44,-42,68,-34,51,-29
4050853,27,-38,43,-42,67,-34,51,-30
4050863,27,-38,43,-42,67,-33,51,-30
4050873,26,-38,43,-42,69,-34,51,-31
4050883,26,-38,42,-42,68,-34,51,-32
4050893,26,-38,43,-42,68,-34,51,-31
4050903,26,-38,42,-42,68,-35,48,-31
4050913,26,-38,44,-42,68,-34,51,-31
4050923,26,-39,44,-41,67,-34,51,-31
4050933,26,-39,44,-41,64,-34,48,-32
4050943,25,-39,44,-43,62,-34,48,-30
4050953,26,-40,44,-42,67,-34,48,-30
4050963,26,-39,44,-43,66,-33,49,-30
4050973,26,-40,45,-43,68,-34,49,-31
4050983,26,-39,44,-42,67,-34,48,-30
4050993,26,-39,44,-42,67,-35,49,-31
4051003,26,-37,44,-40,67,-34,49,-31
4051013,26,-39,44,-43,68,-35,49,-31
4051023,26,-39,43,-42,69,-34,49,-31
4051033,26,-38,44,-43,67,-33,49,-30
4051043,26,-39,44,-42,68,-34,49,-31
4051053,26,-39,43,-43,67,-33,49,-31
4051063,26,-38,44,-43,69,-34,48,-31
4051073,25,-38,44,-42,68,-33,49,-31
4051083,26,-39,43,-43,68,-33,49,-32
4051093,26,-39,45,-44,67,-33,49,-32
4051103,26,-37,44,-42,67,-34,48,-31
4051113,27,-39,44,-43,73,-33,48,-31
4051123,26,-37,44,-43,68,-33,49,-31
4051133,26,-37,44,-43,67,-35,48,-31
4051143,26,-37,43,-40,67,-34,47,-31
4051153,26,-37,41,-43,67,-33,47,-31
4051163,26,-37,44,-44,70,-33,48,-31
4051173,26,-37,44,-44,69,-34,48,-31
4051183,27,-37,44,-43,66,-34,47,-31
4051193,26,-37,44,-42,68,-34,49,-32
4051203,26,-37,44,-42,70,-34,47,-32
4051213,27,-36,45,-42,67,-33,47,-31
4051223,25,-35,44,-43,68,-33,48,-30
4051233,26,-35,44,-43,67,-33,49,-32
4051243,25,-36,44,-42,69,-34,49,-32
4051253,26,-34,44,-43,68,-33,50,-32
4051263,26,-36,44,-43,71,-33,49,-31
4051273,26,-36,44,-43,68,-34,50,-32
4051283,27,-36,44,-43,68,-34,50,-32
4051293,26,-36,44,-43,67,-33,49,-32
4051303,26,-36,44,-43,68,-33,49,-32
4051313,26,-36,44,-44,73,-34,49,-33
4051323,26,-37,44,-43,64,-33,47,-32
4051333,26,-38,44,-38,69,-33,49,-33
4051343,26,-37,44,-43,67,-33,50,-32
4051353,27,-38,44,-42,69,-33,50,-32
4051363,26,-37,44,-43,68,-33,49,-33
4051373,27,-37,43,-42,67,-33,49,-32
4051383,26,-37,44,-43,68,-34,50,-33
4051393,27,-37,43,-42,68,-33,50,-32
4051403,26,-35,44,-42,68,-33,50,-33
4051413,26,-36,44,-42,67,-34,49,-33
4051423,26,-37,44,-41,66,-33,49,-33
4051433,26,-36,44,-42,66,-34,48,-33
4051443,26,-38,43,-43,62,-34,49,-33
4051453,26,-36,43,-43,68,-34,48,-33
4051463,26,-36,44,-43,67,-33,50,-33
4051473,27,-36,44,-43,67,-33,48,-33
4051483,26,-35,44,-42,68,-34,50,-33
4051493,26,-35,43,-44,68,-33,51,-32
4051503,26,-35,44,-43,67,-34,48,-32
4051513,27,-34,44,-43,67,-33,50,-33
4051523,26,-35,44,-42,68,-34,50,-33
4051533,26,-36,44,-43,68,-34,49,-33
4051543,26,-35,44,-42,69,-34,51,-29
4051553,26,-35,43,-43,68,-33,51,-33
4051563,24,-36,43,-43,67,-33,52,-32
4051573,27,-36,44,-43,68,-33,48,-32
4051583,26,-35,44,-43,68,-34,52,-33
4051593,28,-36,44,-43,68,-34,51,-32
4051603,26,-37,44,-43,67,-34,52,-32
4051613,28,-38,44,-42,68,-33,51,-32
4051623,28,-38,44,-43,69,-34,51,-32
4051633,27,-38,44,-39,67,-34,51,-31
4051643,28,-38,44,-43,69,-33,49,-32
4051653,29,-38,43,-42,67,-33,51,-32
4051663,29,-36,44,-43,68,-34,50,-32
4051673,27,-38,44,-43,70,-33,48,-32
4051683,29,-38,43,-41,70,-34,50,-32
4051693,29,-38,44,-42,67,-34,50,-32
4051703,30,-38,44,-41,67,-33,50,-32
4051713,29,-38,44,-42,67,-33,50,-32
4051723,29,-37,45,-42,69,-33,50,-32
4051733,29,-38,44,-41,67,-34,50,-32
4051743,30,-38,45,-42,67,-34,50,-32
4051753,29,-37,45,-40,66,-33,50,-32
4051763,29,-39,43,-43,67,-33,48,-32
4051773,29,-38,45,-42,67,-34,49,-32
4051783,29,-38,46,-42,67,-34,48,-28
4051793,29,-39,44,-42,67,-34,46,-32
4051803,29,-38,45,-41,66,-34,48,-32
4051813,28,-39,45,-42,69,-33,47,-32
4051823,29,-38,45,-41,66,-34,48,-32
4051833,28,-39,45,-41,67,-33,48,-32
4051843,29,-38,45,-41,67,-33,47,-32
4051853,28,-38,45,-41,63,-33,45,-32
4051863,28,-38,45,-41,69,-33,47,-32
4051873,28,-38,47,-41,66,-33,48,-32
4051883,28,-38,45,-42,67,-33,47,-32
4051893,29,-38,45,-42,67,-33,48,-32
4051903,28,-39,45,-42,67,-33,47,-31
4051913,28,-38,46,-40,66,-33,48,-32
4051923,28,-39,45,-42,67,-33,46,-32
4051933,27,-39,44,-43,70,-33,48,-33
4051943,28,-38,45,-43,66,-33,48,-32
4051953,28,-39,44,-43,71,-33,48,-33
4051963,28,-40,46,-42,66,-33,48,-32
4051973,27,-39,45,-43,67,-33,48,-33
4051983,27,-39,45,-42,64,-33,47,-32
4051993,29,-40,45,-43,67,-33,48,-32
4052004,28,-39,44,-42,65,-34,48,-32
4052013,28,-40,45,-43,67,-34,46,-32
