time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
365953,20,-38,40,-45,63,-44,27,-27
365963,20,-37,40,-45,63,-42,28,-28
365973,21,-38,40,-45,66,-34,28,-27
365983,21,-38,40,-45,63,-42,28,-27
365993,21,-39,40,-45,63,-33,28,-27
366003,21,-40,40,-45,64,-43,28,-27
366013,21,-41,40,-46,63,-42,28,-27
366023,21,-42,40,-46,65,-41,27,-26
366033,21,-42,40,-46,65,-37,28,-26
366043,21,-42,39,-46,65,-41,26,-26
366053,21,-40,40,-46,64,-41,29,-27
366063,21,-43,40,-45,67,-40,27,-27
366073,20,-43,40,-46,69,-42,28,-27
366083,21,-43,40,-46,68,-32,28,-27
366093,20,-41,37,-46,67,-42,28,-27
366103,21,-43,40,-47,67,-29,22,-27
366113,22,-43,41,-46,67,-42,26,-27
366123,20,-43,40,-46,67,-42,27,-29
366133,20,-41,39,-47,67,-29,27,-29
366143,20,-42,40,-46,67,-43,29,-29
366153,18,-42,40,-48,69,-41,29,-29
366163,18,-42,40,-46,66,-43,28,-29
366173,18,-42,40,-46,67,-31,30,-29
366183,19,-42,40,-46,70,-31,51,-29
366193,18,-42,40,-45,70,-32,26,-25
366203,18,-42,39,-45,64,-38,32,-29
366213,18,-42,40,-47,70,-42,31,-29
366223,16,-42,41,-46,65,-44,32,-27
366233,18,-42,39,-46,65,-45,31,-28
366243,18,-43,40,-46,66,-44,32,-28
366253,17,-43,40,-46,69,-43,31,-27
366263,17,-43,40,-46,65,-30,32,-26
366273,17,-43,40,-46,69,-34,31,-24
366283,18,-44,40,-45,66,-44,27,-26
366293,18,-44,39,-45,65,-42,32,-24
366303,18,-44,39,-43,67,-44,30,-23
366313,18,-45,40,-45,66,-33,32,-23
366323,18,-45,39,-44,67,-39,31,-23
366333,19,-45,40,-45,69,-37,32,-22
366343,19,-45,40,-46,67,-45,30,-22
366353,18,-44,40,-44,67,-45,32,-21
366363,19,-44,40,-46,67,-43,31,-22
366373,19,-45,40,-45,66,-35,21,-23
366383,19,-45,40,-44,66,-43,32,-23
366393,20,-43,40,-44,68,-45,32,-22
366403,20,-43,40,-45,68,-46,32,-22
366413,20,-43,40,-46,67,-44,32,-23
366423,20,-44,39,-45,65,-35,18,-22
366433,20,-44,40,-45,67,-46,28,-23
366443,20,-44,40,-46,67,-46,30,-22
366453,19,-43,39,-45,66,-34,30,-23
366463,20,-45,41,-45,67,-46,30,-23
366473,20,-45,40,-44,66,-47,30,-24
366483,19,-44,40,-45,61,-47,28,-24
366493,19,-44,40,-46,64,-36,31,-25
366503,20,-43,40,-45,66,-41,30,-24
366513,21,-44,39,-44,66,-37,22,-24
366523,22,-44,40,-43,66,-49,29,-23
366533,20,-45,40,-42,65,-40,31,-23
366543,21,-45,40,-44,65,-35,29,-23
366553,21,-44,40,-44,66,-41,30,-23
366563,21,-44,39,-43,65,-47,28,-23
366573,21,-45,40,-44,65,-45,30,-22
366583,20,-46,40,-45,63,-47,30,-23
366593,22,-46,41,-44,68,-40,30,-23
366603,21,-46,40,-44,65,-35,16,-22
366613,22,-45,40,-45,64,-40,28,-21
366623,22,-45,40,-44,67,-48,29,-25
366633,22,-45,40,-44,65,-35,30,-24
366643,22,-45,39,-43,64,-36,29,-23
366653,20,-45,40,-45,65,-39,30,-24
366663,21,-44,40,-44,64,-48,28,-24
366673,21,-44,40,-44,65,-37,29,-23
366683,20,-45,40,-43,65,-47,26,-24
366693,20,-45,41,-44,66,-35,16,-22
366703,20,-46,40,-44,59,-47,27,-22
366713,20,-46,40,-45,65,-42,27,-24
366723,21,-45,40,-45,64,-37,26,-23
366733,22,-45,40,-45,65,-39,28,-23
366743,20,-47,40,-45,65,-37,15,-22
366753,22,-45,40,-45,68,-36,29,-22
366763,22,-45,40,-45,64,-36,27,-22
366773,17,-44,40,-45,65,-37,29,-24
366783,20,-43,40,-45,65,-49,26,-24
366793,21,-42,40,-45,66,-44,28,-24
366803,21,-41,40,-44,65,-51,26,-23
366813,22,-40,40,-45,65,-46,27,-23
366823,22,-40,39,-44,64,-39,29,-24
366833,21,-39,40,-45,66,-39,19,-24
366843,22,-39,41,-45,64,-38,28,-22
366853,23,-38,40,-44,68,-41,26,-24
366863,23,-37,40,-43,65,-38,26,-25
366873,23,-38,40,-43,65,-41,26,-24
366883,22,-37,40,-44,64,-35,26,-25
366893,21,-36,40,-37,64,-38,28,-25
366903,21,-36,40,-44,64,-41,27,-24
366913,20,-36,40,-44,65,-46,27,-24
366923,20,-36,39,-44,64,-46,18,-23
366933,20,-36,39,-44,64,-38,26,-24
366943,21,-36,40,-43,64,-38,28,-23
366953,20,-36,40,-44,66,-35,27,-25
366963,20,-36,39,-44,63,-42,27,-24
366973,19,-36,39,-44,65,-36,28,-26
366983,19,-35,40,-43,64,-34,27,-25
366993,19,-36,39,-43,61,-39,28,-25
367003,19,-36,40,-44,62,-45,28,-24
367013,19,-36,40,-44,64,-34,16,-23
367023,21,-36,39,-44,64,-34,26,-23
367033,21,-36,39,-44,62,-33,26,-23
367043,20,-36,40,-44,62,-35,26,-24
367053,20,-36,40,-44,61,-47,26,-24
367063,20,-23,38,-45,63,-35,15,-24
367073,20,-36,40,-45,63,-34,25,-24
367083,21,-36,40,-44,62,-38,26,-24
367093,22,-35,40,-45,63,-35,27,-25
367103,21,-36,40,-44,63,-35,25,-25
367113,21,-36,40,-44,63,-48,23,-24
367123,22,-36,39,-45,63,-35,24,-26
367133,21,-37,40,-44,58,-36,25,-27
367143,19,-35,40,-44,66,-34,25,-27
367153,21,-23,40,-44,63,-35,13,-27
367163,20,-34,40,-44,64,-35,25,-26
367173,21,-23,39,-43,64,-34,23,-25
367183,20,-23,39,-44,66,-34,17,-24
367193,20,-23,39,-44,65,-36,23,-23
367203,20,-35,40,-44,65,-32,23,-23
367213,20,-36,40,-42,64,-36,22,-23
367223,22,-36,40,-45,64,-32,24,-23
367233,22,-37,40,-45,67,-34,25,-22
367243,22,-36,39,-44,64,-31,22,-23
367253,25,-37,40,-43,63,-32,26,-23
367263,24,-37,40,-42,63,-32,24,-23
367273,24,-36,40,-43,63,-31,25,-22
367283,23,-36,40,-44,63,-33,24,-23
367293,22,-36,41,-44,62,-31,26,-22
367303,23,-36,40,-44,64,-32,24,-23
367313,23,-23,40,-44,64,-31,25,-23
367323,23,-23,40,-44,65,-35,24,-24
367333,24,-34,41,-44,63,-34,1,-24
367343,25,-22,40,-44,64,-33,27,-22
367353,22,-34,40,-43,58,-37,27,-23
367363,26,-22,41,-43,63,-34,23,-22
367373,21,-23,41,-43,62,-33,26,-24
367383,21,-21,40,-43,68,-34,22,-23
367393,20,-22,41,-44,62,-34,28,-22
367403,17,-22,40,-44,63,-32,28,-22
367413,22,-22,41,-43,64,-33,28,-21
367423,19,-22,40,-44,63,-32,27,-22
367433,17,-21,39,-43,65,-32,26,-22
367443,18,-21,40,-44,64,-32,28,-20
367453,19,-22,40,-44,66,-32,21,-20
