time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
1770953,26,-40,45,-44,52,-33,33,-28
1770963,26,-40,45,-43,51,-33,48,-37
1770973,26,-40,45,-43,52,-34,38,-28
1770983,26,-40,43,-43,68,-33,31,-28
1770993,25,-40,45,-42,54,-31,34,-28
1771003,24,-40,45,-42,54,-31,31,-27
1771013,26,-40,43,-43,66,-34,31,-29
1771023,26,-40,43,-43,70,-32,31,-28
1771033,27,-41,42,-42,48,-33,50,-41
1771043,25,-40,43,-43,50,-34,47,-36
1771053,26,-42,43,-44,52,-33,41,-31
1771063,25,-41,43,-43,51,-32,33,-28
1771073,25,-41,43,-42,52,-34,53,-41
1771083,25,-40,45,-44,50,-33,51,-40
1771093,26,-40,45,-43,52,-34,44,-34
1771103,25,-39,44,-42,52,-34,40,-28
1771113,25,-39,44,-43,50,-32,51,-28
1771123,26,-39,45,-43,68,-33,31,-28
1771133,25,-39,45,-43,69,-32,31,-28
1771143,25,-39,43,-43,69,-32,31,-28
1771153,26,-39,45,-43,53,-34,37,-30
1771163,25,-38,45,-44,53,-32,29,-28
1771173,24,-38,45,-43,68,-31,31,-28
1771183,24,-38,46,-43,68,-32,31,-29
1771193,26,-38,46,-43,52,-33,41,-30
1771203,26,-38,46,-43,51,-33,29,-29
1771213,24,-38,47,-42,68,-33,30,-28
1771223,25,-38,47,-43,52,-32,49,-40
1771233,25,-38,46,-43,55,-33,39,-28
1771243,24,-38,47,-43,52,-32,33,-29
1771253,26,-38,46,-43,68,-33,31,-28
1771263,25,-38,47,-43,70,-31,31,-27
1771273,25,-38,48,-43,53,-33,40,-30
1771283,25,-38,46,-43,53,-32,31,-28
1771293,26,-38,47,-43,52,-33,44,-36
1771303,26,-38,46,-43,54,-34,31,-28
1771313,26,-39,47,-43,68,-32,31,-28
1771323,26,-38,48,-43,69,-32,31,-28
1771333,25,-38,46,-42,58,-32,33,-28
1771343,26,-37,46,-43,69,-33,32,-28
1771353,25,-38,47,-43,67,-32,30,-28
1771363,25,-38,46,-44,68,-32,32,-28
1771373,25,-38,46,-43,52,-33,40,-33
1771383,25,-38,48,-43,54,-33,32,-28
1771393,25,-38,47,-42,66,-33,31,-28
1771403,25,-38,46,-42,56,-33,33,-27
1771413,24,-38,47,-43,63,-32,31,-28
1771423,25,-38,46,-42,68,-33,31,-29
1771433,24,-38,46,-42,53,-33,38,-27
1771443,25,-38,46,-40,52,-33,38,-28
1771453,25,-38,45,-42,50,-33,50,-39
1771463,24,-38,46,-43,68,-33,31,-28
1771473,26,-37,46,-44,68,-33,31,-28
1771483,25,-37,46,-42,63,-32,32,-28
1771493,24,-37,46,-42,54,-35,35,-28
1771503,25,-37,46,-43,53,-34,32,-28
1771513,26,-36,45,-42,68,-32,31,-28
1771523,25,-36,46,-42,52,-34,33,-27
1771533,25,-36,46,-42,53,-33,31,-28
1771543,25,-36,46,-43,68,-33,29,-28
1771553,25,-36,47,-41,68,-35,32,-28
1771563,25,-36,48,-43,68,-33,32,-28
1771573,25,-36,48,-41,65,-32,30,-28
1771583,26,-36,47,-43,69,-33,32,-28
1771593,25,-35,46,-43,67,-34,32,-28
1771603,25,-35,47,-43,54,-33,29,-28
1771613,25,-35,46,-41,69,-34,31,-28
1771623,24,-34,46,-43,63,-34,32,-28
1771633,25,-33,46,-39,69,-34,31,-28
1771643,24,-34,47,-41,67,-33,30,-28
1771653,25,-33,46,-41,70,-33,32,-28
1771663,25,-33,47,-42,68,-33,30,-29
1771673,25,-33,46,-43,53,-33,34,-28
1771683,25,-33,46,-43,68,-34,31,-28
1771693,25,-33,46,-42,64,-33,29,-28
1771703,25,-33,46,-42,54,-33,33,-28
1771713,26,-33,46,-43,67,-33,30,-28
1771723,25,-33,45,-40,53,-33,37,-28
1771733,25,-33,45,-42,68,-34,32,-28
1771743,25,-33,44,-41,69,-33,31,-27
1771753,24,-33,45,-42,67,-34,32,-28
1771763,25,-33,46,-41,69,-32,31,-27
1771773,25,-33,45,-42,68,-33,32,-28
1771783,25,-33,44,-41,55,-33,31,-27
1771793,25,-33,45,-41,67,-33,30,-28
1771803,25,-33,45,-41,52,-32,31,-27
1771813,25,-33,46,-41,65,-33,30,-28
1771823,22,-33,44,-41,53,-33,32,-27
1771833,25,-33,44,-41,64,-34,32,-28
1771843,25,-34,44,-41,53,-33,31,-28
1771853,25,-35,45,-41,68,-33,32,-28
1771863,25,-32,45,-41,66,-33,30,-28
1771873,25,-33,44,-41,63,-33,32,-28
1771883,25,-33,44,-42,69,-32,32,-28
1771893,25,-34,44,-41,66,-33,31,-28
1771903,25,-33,46,-40,69,-33,32,-28
1771913,25,-34,45,-41,69,-34,32,-27
1771923,25,-33,45,-41,72,-33,32,-28
1771933,25,-33,44,-41,58,-33,32,-28
1771943,25,-33,45,-42,69,-33,31,-28
1771953,25,-33,44,-42,70,-33,32,-27
1771963,25,-33,44,-41,65,-33,32,-27
1771973,25,-34,44,-41,62,-33,32,-27
1771983,25,-33,44,-41,67,-33,33,-27
1771993,24,-33,44,-42,59,-33,30,-27
1772003,24,-33,44,-41,67,-34,32,-27
1772013,24,-32,44,-39,67,-34,32,-28
1772023,24,-33,43,-42,68,-32,32,-28
1772033,25,-32,44,-41,49,-34,34,-27
1772043,24,-32,42,-41,68,-32,31,-27
1772053,24,-33,44,-42,51,-33,34,-27
1772063,24,-32,44,-41,67,-33,30,-27
1772073,24,-33,43,-42,65,-33,31,-28
1772083,23,-33,44,-42,61,-33,30,-27
1772093,23,-33,43,-39,61,-33,31,-27
1772103,23,-33,44,-40,67,-33,30,-27
1772113,23,-33,43,-42,68,-33,29,-27
1772123,23,-33,43,-41,65,-33,31,-28
1772133,23,-33,42,-41,60,-33,31,-26
1772143,22,-33,42,-41,52,-33,34,-27
1772153,23,-33,42,-41,67,-34,32,-28
1772163,23,-34,42,-41,68,-33,31,-27
1772173,23,-34,42,-41,68,-31,32,-27
1772183,24,-34,42,-40,64,-33,31,-27
1772193,24,-33,41,-41,69,-33,31,-27
1772203,23,-34,42,-40,67,-33,31,-28
1772213,23,-34,42,-40,69,-33,32,-27
1772223,23,-34,42,-40,67,-31,33,-28
1772233,24,-34,42,-40,68,-33,31,-27
1772243,23,-34,42,-40,68,-33,32,-28
1772253,23,-33,42,-40,68,-33,31,-27
1772263,23,-33,42,-40,68,-31,32,-27
1772273,23,-34,42,-40,68,-32,30,-28
1772283,24,-35,42,-42,60,-33,33,-28
1772293,23,-35,41,-41,68,-33,32,-28
1772303,23,-35,42,-41,69,-29,33,-28
1772313,24,-35,41,-43,61,-33,32,-28
1772323,24,-35,41,-43,70,-33,32,-28
1772333,24,-36,41,-43,66,-35,32,-28
1772343,25,-35,42,-44,53,-33,31,-24
1772353,24,-35,42,-44,67,-32,33,-28
1772363,24,-35,41,-43,67,-33,32,-27
1772373,24,-35,41,-44,68,-33,33,-28
1772383,24,-34,42,-44,71,-33,33,-28
1772393,24,-35,41,-44,53,-32,32,-28
1772403,23,-35,41,-45,67,-33,32,-27
1772413,24,-35,41,-44,69,-34,33,-27
1772423,23,-36,41,-43,63,-32,33,-27
1772433,23,-34,41,-45,69,-31,33,-28
1772443,23,-35,42,-44,61,-35,34,-27
1772453,23,-35,41,-45,68,-32,34,-28
1772463,21,-35,41,-44,53,-31,31,-28
1772473,23,-35,42,-45,68,-33,33,-28
1772483,22,-35,41,-44,66,-32,33,-28
1772493,24,-35,41,-44,61,-32,31,-27
1772503,22,-35,41,-43,69,-30,33,-27
1772513,25,-35,41,-44,68,-32,34,-28
1772523,25,-35,41,-44,69,-33,32,-27
1772533,26,-35,41,-44,67,-32,34,-27
1772543,27,-35,41,-44,68,-31,34,-27
1772553,26,-35,41,-43,68,-32,33,-27
1772563,28,-35,41,-44,60,-31,33,-27
1772573,28,-36,41,-43,68,-32,33,-28
1772583,28,-35,41,-45,70,-29,33,-28
1772593,27,-35,41,-44,64,-32,34,-28
1772603,29,-36,41,-45,56,-32,32,-27
1772613,24,-36,41,-43,68,-31,34,-27
1772623,28,-36,41,-44,55,-32,33,-28
1772633,26,-35,41,-42,67,-32,33,-27
1772643,28,-35,40,-44,54,-32,32,-27
1772653,29,-35,41,-43,60,-32,32,-27
1772663,28,-35,41,-44,63,-32,33,-27
1772673,28,-35,41,-42,72,-24,32,-28
1772683,28,-35,41,-43,63,-33,32,-27
1772693,28,-35,41,-42,59,-33,33,-27
1772703,28,-35,41,-42,60,-33,32,-27
1772713,28,-35,41,-42,67,-32,32,-28
1772723,28,-35,40,-44,52,-32,32,-28
1772733,27,-37,41,-42,59,-32,34,-27
1772743,27,-35,41,-43,66,-33,31,-27
1772753,27,-35,41,-43,69,-33,32,-27
1772763,27,-35,41,-43,63,-32,32,-27
1772773,27,-35,41,-43,59,-32,34,-27
1772783,27,-35,41,-43,61,-32,32,-28
1772793,27,-35,41,-42,56,-32,32,-27
1772803,27,-35,41,-42,58,-33,33,-28
1772813,27,-35,41,-42,61,-33,33,-27
1772823,28,-35,41,-42,52,-34,32,-27
1772833,28,-34,40,-43,72,-26,33,-28
1772843,30,-35,41,-43,73,-33,32,-28
1772853,29,-35,40,-44,55,-34,31,-28
1772863,29,-35,42,-43,56,-32,33,-28
1772873,27,-35,41,-42,53,-32,32,-27
1772883,28,-35,41,-43,52,-33,32,-27
1772893,27,-36,42,-43,60,-32,32,-27
1772903,27,-36,41,-42,65,-31,32,-27
1772913,28,-36,42,-42,61,-32,32,-27
